layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,4,2586
input_layernorm,1,0,4,16453
q_proj,1,0,4,14991
k_proj,1,0,4,4946
v_proj,1,0,4,4759
rope,1,0,4,12659
attn,1,0,4,3100
o_proj,1,0,4,13462
post_layernorm,1,0,4,17272
gate_proj,1,0,4,41139
up_proj,1,0,4,41128
act_fn,1,0,4,2064
down_proj,1,0,4,42776
final_layernorm,1,0,4,16699
lm_head,1,0,4,356774
embedding,2,0,4,3134
input_layernorm,2,0,4,18771
q_proj,2,0,4,16618
k_proj,2,0,4,6600
v_proj,2,0,4,6241
rope,2,0,4,14684
attn,2,0,4,2906
o_proj,2,0,4,13215
post_layernorm,2,0,4,19733
gate_proj,2,0,4,43304
up_proj,2,0,4,42822
act_fn,2,0,4,1832
down_proj,2,0,4,42954
final_layernorm,2,0,4,19500
lm_head,2,0,4,357960
embedding,3,0,4,3618
input_layernorm,3,0,4,18707
q_proj,3,0,4,16813
k_proj,3,0,4,6572
v_proj,3,0,4,6242
rope,3,0,4,14702
attn,3,0,4,2901
o_proj,3,0,4,13135
post_layernorm,3,0,4,19803
gate_proj,3,0,4,43378
up_proj,3,0,4,42912
act_fn,3,0,4,1787
down_proj,3,0,4,43208
final_layernorm,3,0,4,19585
lm_head,3,0,4,358952
embedding,4,0,4,4158
input_layernorm,4,0,4,19430
q_proj,4,0,4,16950
k_proj,4,0,4,6597
v_proj,4,0,4,6246
rope,4,0,4,15124
attn,4,0,4,2900
o_proj,4,0,4,13251
post_layernorm,4,0,4,20383
gate_proj,4,0,4,43398
up_proj,4,0,4,43062
act_fn,4,0,4,1808
down_proj,4,0,4,43222
final_layernorm,4,0,4,20226
lm_head,4,0,4,359660
embedding,5,0,4,4803
input_layernorm,5,0,4,19444
q_proj,5,0,4,17116
k_proj,5,0,4,6606
v_proj,5,0,4,6243
rope,5,0,4,14797
attn,5,0,4,2914
o_proj,5,0,4,13208
post_layernorm,5,0,4,20359
gate_proj,5,0,4,43486
up_proj,5,0,4,43093
act_fn,5,0,4,1890
down_proj,5,0,4,43343
final_layernorm,5,0,4,20249
lm_head,5,0,4,360296
embedding,6,0,4,5253
input_layernorm,6,0,4,19590
q_proj,6,0,4,17244
k_proj,6,0,4,6610
v_proj,6,0,4,6263
rope,6,0,4,14951
attn,6,0,4,2915
o_proj,6,0,4,13244
post_layernorm,6,0,4,20579
gate_proj,6,0,4,43671
up_proj,6,0,4,43079
act_fn,6,0,4,1911
down_proj,6,0,4,43293
final_layernorm,6,0,4,20462
lm_head,6,0,4,361041
embedding,7,0,4,5731
input_layernorm,7,0,4,19639
q_proj,7,0,4,17420
k_proj,7,0,4,6616
v_proj,7,0,4,6266
rope,7,0,4,14835
attn,7,0,4,2916
o_proj,7,0,4,13238
post_layernorm,7,0,4,20594
gate_proj,7,0,4,43656
up_proj,7,0,4,43155
act_fn,7,0,4,1954
down_proj,7,0,4,43277
final_layernorm,7,0,4,20485
lm_head,7,0,4,361518
embedding,8,0,4,6313
input_layernorm,8,0,4,21053
q_proj,8,0,4,17499
k_proj,8,0,4,6654
v_proj,8,0,4,6278
rope,8,0,4,15154
attn,8,0,4,2914
o_proj,8,0,4,13296
post_layernorm,8,0,4,21606
gate_proj,8,0,4,43740
up_proj,8,0,4,43263
act_fn,8,0,4,1952
down_proj,8,0,4,43514
final_layernorm,8,0,4,21491
lm_head,8,0,4,362330
embedding,9,0,4,6828
input_layernorm,9,0,4,21198
q_proj,9,0,4,17602
k_proj,9,0,4,6651
v_proj,9,0,4,6294
rope,9,0,4,14865
attn,9,0,4,2929
o_proj,9,0,4,13322
post_layernorm,9,0,4,21861
gate_proj,9,0,4,43833
up_proj,9,0,4,43493
act_fn,9,0,4,1920
down_proj,9,0,4,43690
final_layernorm,9,0,4,21732
lm_head,9,0,4,363478
embedding,10,0,4,7375
input_layernorm,10,0,4,21270
q_proj,10,0,4,15498
