layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,1,65007
input_layernorm,1,0,1,143360
q_proj,1,0,1,107519
k_proj,1,0,1,60416
v_proj,1,0,1,63648
rope,1,0,1,192336
o_proj,1,0,1,104447
post_layernorm,1,0,1,140287
gate_proj,1,0,1,250880
up_proj,1,0,1,212991
act_fn,1,0,1,7168
down_proj,1,0,1,218112
final_layernorm,1,0,1,23359
lm_head,1,0,1,1854464
embedding,2,0,1,65120
input_layernorm,2,0,1,141231
q_proj,2,0,1,107664
k_proj,2,0,1,64656
v_proj,2,0,1,70399
rope,2,0,1,192032
o_proj,2,0,1,104447
post_layernorm,2,0,1,139247
gate_proj,2,0,1,252672
up_proj,2,0,1,217087
act_fn,2,0,1,7168
down_proj,2,0,1,217087
final_layernorm,2,0,1,25599
lm_head,2,0,1,1820672
embedding,3,0,1,64511
input_layernorm,3,0,1,141312
q_proj,3,0,1,108399
k_proj,3,0,1,64511
v_proj,3,0,1,69744
rope,3,0,1,191487
o_proj,3,0,1,104447
post_layernorm,3,0,1,139135
gate_proj,3,0,1,252927
up_proj,3,0,1,217087
act_fn,3,0,1,7199
down_proj,3,0,1,217087
final_layernorm,3,0,1,25599
lm_head,3,0,1,1823744
embedding,4,0,1,64608
input_layernorm,4,0,1,142271
q_proj,4,0,1,108543
k_proj,4,0,1,64575
v_proj,4,0,1,69632
rope,4,0,1,191328
o_proj,4,0,1,104447
post_layernorm,4,0,1,139264
gate_proj,4,0,1,252927
up_proj,4,0,1,217087
act_fn,4,0,1,7168
down_proj,4,0,1,218112
final_layernorm,4,0,1,26623
lm_head,4,0,1,1826815
embedding,5,0,1,64511
input_layernorm,5,0,1,142287
q_proj,5,0,1,108543
k_proj,5,0,1,64672
v_proj,5,0,1,70544
rope,5,0,1,191919
o_proj,5,0,1,105247
post_layernorm,5,0,1,139151
gate_proj,5,0,1,252927
up_proj,5,0,1,217087
act_fn,5,0,1,7168
down_proj,5,0,1,217087
final_layernorm,5,0,1,26623
lm_head,5,0,1,1827327
embedding,6,0,1,64511
input_layernorm,6,0,1,141312
q_proj,6,0,1,108543
k_proj,6,0,1,64511
v_proj,6,0,1,70496
rope,6,0,1,192336
o_proj,6,0,1,105263
post_layernorm,6,0,1,139151
gate_proj,6,0,1,252927
up_proj,6,0,1,217087
act_fn,6,0,1,7168
down_proj,6,0,1,218112
final_layernorm,6,0,1,26623
lm_head,6,0,1,1829887
embedding,7,0,1,64575
input_layernorm,7,0,1,142335
q_proj,7,0,1,108624
k_proj,7,0,1,65023
v_proj,7,0,1,70656
rope,7,0,1,191711
o_proj,7,0,1,104943
post_layernorm,7,0,1,139264
gate_proj,7,0,1,253951
up_proj,7,0,1,217632
act_fn,7,0,1,7168
down_proj,7,0,1,218112
final_layernorm,7,0,1,27648
lm_head,7,0,1,1831936
embedding,8,0,1,64608
input_layernorm,8,0,1,141312
q_proj,8,0,1,108543
k_proj,8,0,1,63760
v_proj,8,0,1,69648
rope,8,0,1,191487
o_proj,8,0,1,105200
post_layernorm,8,0,1,139264
gate_proj,8,0,1,253951
up_proj,8,0,1,217151
act_fn,8,0,1,7168
down_proj,8,0,1,218112
final_layernorm,8,0,1,28672
lm_head,8,0,1,1832000
embedding,9,0,1,64656
input_layernorm,9,0,1,142223
q_proj,9,0,1,108640
k_proj,9,0,1,64047
v_proj,9,0,1,70464
rope,9,0,1,191600
o_proj,9,0,1,105455
post_layernorm,9,0,1,139039
gate_proj,9,0,1,253951
up_proj,9,0,1,218112
act_fn,9,0,1,7344
down_proj,9,0,1,219135
final_layernorm,9,0,1,28672
lm_head,9,0,1,1833984
embedding,10,0,1,64511
input_layernorm,10,0,1,142335
q_proj,10,0,1,109567
k_proj,10,0,1,63664
v_proj,10,0,1,69904
rope,10,0,1,191600
o_proj,10,0,1,105471
post_layernorm,10,0,1,139264
gate_proj,10,0,1,253951
up_proj,10,0,1,217087
act_fn,10,0,1,8191
down_proj,10,0,1,220159
final_layernorm,10,0,1,27648
lm_head,10,0,1,1837056
