layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,16,49040
input_layernorm,1,0,16,112112
q_proj,1,0,16,63487
k_proj,1,0,16,52223
v_proj,1,0,16,51199
rope,1,0,16,140767
o_proj,1,0,16,60352
post_layernorm,1,0,16,113664
gate_proj,1,0,16,52223
up_proj,1,0,16,44032
act_fn,1,0,16,41983
down_proj,1,0,16,49152
final_layernorm,1,0,16,110592
lm_head,1,0,16,164864
embedding,2,0,16,48128
input_layernorm,2,0,16,112640
q_proj,2,0,16,67824
k_proj,2,0,16,56368
v_proj,2,0,16,54767
rope,2,0,16,144287
o_proj,2,0,16,59392
post_layernorm,2,0,16,113664
gate_proj,2,0,16,57248
up_proj,2,0,16,48160
act_fn,2,0,16,42063
down_proj,2,0,16,50448
final_layernorm,2,0,16,111616
lm_head,2,0,16,167935
embedding,3,0,16,48223
input_layernorm,3,0,16,112640
q_proj,3,0,16,68576
k_proj,3,0,16,56464
v_proj,3,0,16,54847
rope,3,0,16,144992
o_proj,3,0,16,59344
post_layernorm,3,0,16,112800
gate_proj,3,0,16,57119
up_proj,3,0,16,48895
act_fn,3,0,16,42096
down_proj,3,0,16,50383
final_layernorm,3,0,16,111744
lm_head,3,0,16,167935
embedding,4,0,16,48175
input_layernorm,4,0,16,112640
q_proj,4,0,16,68399
k_proj,4,0,16,60320
v_proj,4,0,16,57135
rope,4,0,16,145408
o_proj,4,0,16,59183
post_layernorm,4,0,16,114224
gate_proj,4,0,16,57151
up_proj,4,0,16,48255
act_fn,4,0,16,43007
down_proj,4,0,16,51199
final_layernorm,4,0,16,112064
lm_head,4,0,16,168944
embedding,5,0,16,48992
input_layernorm,5,0,16,113391
q_proj,5,0,16,68528
k_proj,5,0,16,60416
v_proj,5,0,16,57344
rope,5,0,16,146448
o_proj,5,0,16,59392
post_layernorm,5,0,16,114688
gate_proj,5,0,16,57344
up_proj,5,0,16,49152
act_fn,5,0,16,42927
down_proj,5,0,16,51056
final_layernorm,5,0,16,112832
lm_head,5,0,16,169104
embedding,6,0,16,48208
input_layernorm,6,0,16,113552
q_proj,6,0,16,68447
k_proj,6,0,16,59952
v_proj,6,0,16,57312
rope,6,0,16,146336
o_proj,6,0,16,59392
post_layernorm,6,0,16,113776
gate_proj,6,0,16,56543
up_proj,6,0,16,49088
act_fn,6,0,16,42192
down_proj,6,0,16,50672
final_layernorm,6,0,16,112704
lm_head,6,0,16,169887
embedding,7,0,16,48623
input_layernorm,7,0,16,113471
q_proj,7,0,16,67824
k_proj,7,0,16,60240
v_proj,7,0,16,56463
rope,7,0,16,146223
o_proj,7,0,16,58623
post_layernorm,7,0,16,114688
gate_proj,7,0,16,57135
up_proj,7,0,16,49088
act_fn,7,0,16,42768
down_proj,7,0,16,50704
final_layernorm,7,0,16,111616
lm_head,7,0,16,168992
embedding,8,0,16,48319
input_layernorm,8,0,16,112640
q_proj,8,0,16,68608
k_proj,8,0,16,60416
v_proj,8,0,16,57344
rope,8,0,16,146431
o_proj,8,0,16,59392
post_layernorm,8,0,16,114528
gate_proj,8,0,16,57296
up_proj,8,0,16,49152
act_fn,8,0,16,42991
down_proj,8,0,16,51119
final_layernorm,8,0,16,112656
lm_head,8,0,16,169983
embedding,9,0,16,48944
input_layernorm,9,0,16,113664
q_proj,9,0,16,68608
k_proj,9,0,16,60240
v_proj,9,0,16,57344
rope,9,0,16,146608
o_proj,9,0,16,59392
post_layernorm,9,0,16,114688
gate_proj,9,0,16,57135
up_proj,9,0,16,49056
act_fn,9,0,16,41999
down_proj,9,0,16,50239
final_layernorm,9,0,16,113439
lm_head,9,0,16,169983
embedding,10,0,16,48223
input_layernorm,10,0,16,113664
q_proj,10,0,16,67808
k_proj,10,0,16,60416
v_proj,10,0,16,57344
rope,10,0,16,146304
o_proj,10,0,16,59280
post_layernorm,10,0,16,114688
gate_proj,10,0,16,57215
up_proj,10,0,16,49136
act_fn,10,0,16,42208
down_proj,10,0,16,51199
final_layernorm,10,0,16,113552
lm_head,10,0,16,169983
