layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,4,3696
input_layernorm,1,0,4,21218
q_proj,1,0,4,30082
k_proj,1,0,4,9025
v_proj,1,0,4,8736
rope,1,0,4,29730
o_proj,1,0,4,25905
post_layernorm,1,0,4,22578
gate_proj,1,0,4,80004
up_proj,1,0,4,79685
act_fn,1,0,4,5344
down_proj,1,0,4,76981
final_layernorm,1,0,4,22064
lm_head,1,0,4,311747
embedding,2,0,4,4416
input_layernorm,2,0,4,25329
q_proj,2,0,4,2912
k_proj,2,0,4,2464
v_proj,2,0,4,2464
rope,2,0,4,35779
o_proj,2,0,4,26401
post_layernorm,2,0,4,26337
gate_proj,2,0,4,79540
up_proj,2,0,4,79236
act_fn,2,0,4,5632
down_proj,2,0,4,77284
final_layernorm,2,0,4,26017
lm_head,2,0,4,306625
embedding,3,0,4,5296
input_layernorm,3,0,4,25249
q_proj,3,0,4,2944
k_proj,3,0,4,2496
v_proj,3,0,4,2464
rope,3,0,4,36387
o_proj,3,0,4,26673
post_layernorm,3,0,4,26496
gate_proj,3,0,4,80020
up_proj,3,0,4,79188
act_fn,3,0,4,5600
down_proj,3,0,4,77156
final_layernorm,3,0,4,26209
lm_head,3,0,4,306786
embedding,4,0,4,5759
input_layernorm,4,0,4,24640
q_proj,4,0,4,2944
k_proj,4,0,4,2496
v_proj,4,0,4,2496
rope,4,0,4,39170
o_proj,4,0,4,26369
post_layernorm,4,0,4,26065
gate_proj,4,0,4,80293
up_proj,4,0,4,79813
act_fn,4,0,4,5696
down_proj,4,0,4,78020
final_layernorm,4,0,4,25746
lm_head,4,0,4,307650
embedding,5,0,4,6832
input_layernorm,5,0,4,24609
q_proj,5,0,4,2976
k_proj,5,0,4,2624
v_proj,5,0,4,2624
rope,5,0,4,39555
o_proj,5,0,4,26513
post_layernorm,5,0,4,25537
gate_proj,5,0,4,80516
up_proj,5,0,4,79749
act_fn,5,0,4,5601
down_proj,5,0,4,78212
final_layernorm,5,0,4,25439
lm_head,5,0,4,308449
embedding,6,0,4,7535
input_layernorm,6,0,4,24865
q_proj,6,0,4,2976
k_proj,6,0,4,2625
v_proj,6,0,4,2624
rope,6,0,4,39584
o_proj,6,0,4,26625
post_layernorm,6,0,4,26112
gate_proj,6,0,4,81124
up_proj,6,0,4,79844
act_fn,6,0,4,5664
down_proj,6,0,4,77508
final_layernorm,6,0,4,26017
lm_head,6,0,4,308722
embedding,7,0,4,8000
input_layernorm,7,0,4,24914
q_proj,7,0,4,2944
k_proj,7,0,4,2656
v_proj,7,0,4,2656
rope,7,0,4,40544
o_proj,7,0,4,26785
post_layernorm,7,0,4,25618
gate_proj,7,0,4,80597
up_proj,7,0,4,80052
act_fn,7,0,4,5648
down_proj,7,0,4,77797
final_layernorm,7,0,4,25890
lm_head,7,0,4,309185
embedding,8,0,4,8832
input_layernorm,8,0,4,25073
q_proj,8,0,4,2944
k_proj,8,0,4,2672
v_proj,8,0,4,2656
rope,8,0,4,40114
o_proj,8,0,4,26994
post_layernorm,8,0,4,25874
gate_proj,8,0,4,81397
up_proj,8,0,4,80212
act_fn,8,0,4,5728
down_proj,8,0,4,81796
final_layernorm,8,0,4,25826
lm_head,8,0,4,310386
embedding,9,0,4,9680
input_layernorm,9,0,4,25170
q_proj,9,0,4,2976
k_proj,9,0,4,2688
v_proj,9,0,4,2688
rope,9,0,4,40098
o_proj,9,0,4,27025
post_layernorm,9,0,4,26017
gate_proj,9,0,4,81749
up_proj,9,0,4,80693
act_fn,9,0,4,5696
down_proj,9,0,4,81924
final_layernorm,9,0,4,25858
lm_head,9,0,4,311122
embedding,10,0,4,10528
input_layernorm,10,0,4,25377
q_proj,10,0,4,30162
k_proj,10,0,4,2800
v_proj,10,0,4,2656
rope,10,0,4,40003
o_proj,10,0,4,27089
post_layernorm,10,0,4,26081
gate_proj,10,0,4,81172
up_proj,10,0,4,80372
act_fn,10,0,4,5840
down_proj,10,0,4,82325
final_layernorm,10,0,4,26305
lm_head,10,0,4,311394
