layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,16,51199
input_layernorm,1,0,16,115680
q_proj,1,0,16,64511
k_proj,1,0,16,54255
v_proj,1,0,16,52319
rope,1,0,16,145440
o_proj,1,0,16,60591
post_layernorm,1,0,16,116224
gate_proj,1,0,16,95232
up_proj,1,0,16,65535
act_fn,1,0,16,17535
down_proj,1,0,16,83967
final_layernorm,1,0,16,113760
lm_head,1,0,16,288767
embedding,2,0,16,50704
input_layernorm,2,0,16,115712
q_proj,2,0,16,68496
k_proj,2,0,16,61439
v_proj,2,0,16,58368
rope,2,0,16,149504
o_proj,2,0,16,60272
post_layernorm,2,0,16,116736
gate_proj,2,0,16,92160
up_proj,2,0,16,65535
act_fn,2,0,16,18432
down_proj,2,0,16,83871
final_layernorm,2,0,16,113664
lm_head,2,0,16,291615
embedding,3,0,16,50175
input_layernorm,3,0,16,115215
q_proj,3,0,16,68096
k_proj,3,0,16,60944
v_proj,3,0,16,58304
rope,3,0,16,149456
o_proj,3,0,16,59583
post_layernorm,3,0,16,116704
gate_proj,3,0,16,91056
up_proj,3,0,16,62975
act_fn,3,0,16,17967
down_proj,3,0,16,83967
final_layernorm,3,0,16,113856
lm_head,3,0,16,291743
embedding,4,0,16,50175
input_layernorm,4,0,16,115712
q_proj,4,0,16,67584
k_proj,4,0,16,61216
v_proj,4,0,16,57504
rope,4,0,16,149440
o_proj,4,0,16,59392
post_layernorm,4,0,16,116303
gate_proj,4,0,16,91136
up_proj,4,0,16,62463
act_fn,4,0,16,16991
down_proj,4,0,16,82943
final_layernorm,4,0,16,112640
lm_head,4,0,16,291807
embedding,5,0,16,50255
input_layernorm,5,0,16,115696
q_proj,5,0,16,67584
k_proj,5,0,16,58368
v_proj,5,0,16,56304
rope,5,0,16,148928
o_proj,5,0,16,59392
post_layernorm,5,0,16,116736
gate_proj,5,0,16,91136
up_proj,5,0,16,62463
act_fn,5,0,16,17408
down_proj,5,0,16,83967
final_layernorm,5,0,16,113664
lm_head,5,0,16,291839
embedding,6,0,16,50175
input_layernorm,6,0,16,114544
q_proj,6,0,16,67584
k_proj,6,0,16,57488
v_proj,6,0,16,55312
rope,6,0,16,147231
o_proj,6,0,16,59807
post_layernorm,6,0,16,115584
gate_proj,6,0,16,91136
up_proj,6,0,16,62463
act_fn,6,0,16,16383
down_proj,6,0,16,83743
final_layernorm,6,0,16,110592
lm_head,6,0,16,291839
embedding,7,0,16,50239
input_layernorm,7,0,16,114736
q_proj,7,0,16,67776
k_proj,7,0,16,58352
v_proj,7,0,16,56320
rope,7,0,16,149504
o_proj,7,0,16,59392
post_layernorm,7,0,16,115760
gate_proj,7,0,16,95232
up_proj,7,0,16,64511
act_fn,7,0,16,13472
down_proj,7,0,16,88863
final_layernorm,7,0,16,106495
lm_head,7,0,16,292863
embedding,8,0,16,50175
input_layernorm,8,0,16,115712
q_proj,8,0,16,67584
k_proj,8,0,16,58368
v_proj,8,0,16,56320
rope,8,0,16,149504
o_proj,8,0,16,60272
post_layernorm,8,0,16,116736
gate_proj,8,0,16,96256
up_proj,8,0,16,64704
act_fn,8,0,16,12351
down_proj,8,0,16,88064
final_layernorm,8,0,16,106495
lm_head,8,0,16,292863
embedding,9,0,16,50175
input_layernorm,9,0,16,115680
q_proj,9,0,16,67584
k_proj,9,0,16,58320
v_proj,9,0,16,56095
rope,9,0,16,149504
o_proj,9,0,16,59392
post_layernorm,9,0,16,115840
gate_proj,9,0,16,95232
up_proj,9,0,16,64511
act_fn,9,0,16,12288
down_proj,9,0,16,88447
final_layernorm,9,0,16,106527
lm_head,9,0,16,293840
embedding,10,0,16,50335
input_layernorm,10,0,16,115712
q_proj,10,0,16,67600
k_proj,10,0,16,58368
v_proj,10,0,16,56239
rope,10,0,16,149504
o_proj,10,0,16,59551
post_layernorm,10,0,16,116736
gate_proj,10,0,16,94208
up_proj,10,0,16,61439
act_fn,10,0,16,17408
down_proj,10,0,16,88064
final_layernorm,10,0,16,107519
lm_head,10,0,16,293280
