layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,1,3520
input_layernorm,1,0,1,20607
q_proj,1,0,1,25184
k_proj,1,0,1,10352
v_proj,1,0,1,10288
rope,1,0,1,34560
o_proj,1,0,1,25232
post_layernorm,1,0,1,21503
gate_proj,1,0,1,82576
up_proj,1,0,1,83297
act_fn,1,0,1,5168
down_proj,1,0,1,76113
final_layernorm,1,0,1,21248
lm_head,1,0,1,580230
embedding,2,0,1,4288
input_layernorm,2,0,1,24352
q_proj,2,0,1,25409
k_proj,2,0,1,2751
v_proj,2,0,1,2560
rope,2,0,1,40096
o_proj,2,0,1,25888
post_layernorm,2,0,1,25153
gate_proj,2,0,1,83232
up_proj,2,0,1,84545
act_fn,2,0,1,5313
down_proj,2,0,1,76608
final_layernorm,2,0,1,25536
lm_head,2,0,1,583445
embedding,3,0,1,4960
input_layernorm,3,0,1,24816
q_proj,3,0,1,25872
k_proj,3,0,1,2879
v_proj,3,0,1,2688
rope,3,0,1,40225
o_proj,3,0,1,25840
post_layernorm,3,0,1,24993
gate_proj,3,0,1,83809
up_proj,3,0,1,85169
act_fn,3,0,1,5408
down_proj,3,0,1,76929
final_layernorm,3,0,1,25887
lm_head,3,0,1,585078
embedding,4,0,1,5728
input_layernorm,4,0,1,24896
q_proj,4,0,1,26000
k_proj,4,0,1,2848
v_proj,4,0,1,2656
rope,4,0,1,42288
o_proj,4,0,1,26000
post_layernorm,4,0,1,26305
gate_proj,4,0,1,83857
up_proj,4,0,1,85153
act_fn,4,0,1,5439
down_proj,4,0,1,77584
final_layernorm,4,0,1,25904
lm_head,4,0,1,586565
embedding,5,0,1,6512
input_layernorm,5,0,1,25232
q_proj,5,0,1,26240
k_proj,5,0,1,2848
v_proj,5,0,1,2688
rope,5,0,1,41822
o_proj,5,0,1,26096
post_layernorm,5,0,1,26207
gate_proj,5,0,1,84320
up_proj,5,0,1,85184
act_fn,5,0,1,5408
down_proj,5,0,1,77536
final_layernorm,5,0,1,26111
lm_head,5,0,1,589254
embedding,6,0,1,7248
input_layernorm,6,0,1,25503
q_proj,6,0,1,26175
k_proj,6,0,1,2879
v_proj,6,0,1,2688
rope,6,0,1,42640
o_proj,6,0,1,26112
post_layernorm,6,0,1,26528
gate_proj,6,0,1,84801
up_proj,6,0,1,85745
act_fn,6,0,1,5632
down_proj,6,0,1,77969
final_layernorm,6,0,1,26559
lm_head,6,0,1,589766
embedding,7,0,1,7840
input_layernorm,7,0,1,25377
q_proj,7,0,1,26223
k_proj,7,0,1,2912
v_proj,7,0,1,2720
rope,7,0,1,42593
o_proj,7,0,1,26192
post_layernorm,7,0,1,26495
gate_proj,7,0,1,84961
up_proj,7,0,1,85969
act_fn,7,0,1,5792
down_proj,7,0,1,78273
final_layernorm,7,0,1,26303
lm_head,7,0,1,590726
embedding,8,0,1,8704
input_layernorm,8,0,1,27680
q_proj,8,0,1,26320
k_proj,8,0,1,2912
v_proj,8,0,1,2720
rope,8,0,1,42689
o_proj,8,0,1,26192
post_layernorm,8,0,1,28161
gate_proj,8,0,1,85393
up_proj,8,0,1,86209
act_fn,8,0,1,5728
down_proj,8,0,1,78625
final_layernorm,8,0,1,28000
lm_head,8,0,1,593030
embedding,9,0,1,9600
input_layernorm,9,0,1,27327
q_proj,9,0,1,26400
k_proj,9,0,1,2944
v_proj,9,0,1,2751
rope,9,0,1,42785
o_proj,9,0,1,26431
post_layernorm,9,0,1,27936
gate_proj,9,0,1,85793
up_proj,9,0,1,86337
act_fn,9,0,1,5792
down_proj,9,0,1,78817
final_layernorm,9,0,1,28960
lm_head,9,0,1,593990
embedding,10,0,1,10080
input_layernorm,10,0,1,27585
q_proj,10,0,1,26656
k_proj,10,0,1,2944
v_proj,10,0,1,2751
rope,10,0,1,42911
o_proj,10,0,1,26480
post_layernorm,10,0,1,28879
gate_proj,10,0,1,85920
up_proj,10,0,1,86352
act_fn,10,0,1,5919
down_proj,10,0,1,79073
final_layernorm,10,0,1,28928
lm_head,10,0,1,594886
