time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,n_embd,n_q_head,n_kv_head,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.10547199845314026,0.12111999839544296,0.10885503947734833,0.1085439994931221,0.0029542507496531593,,,,,,8192,64,8,32,131072,1,32,32,True,SDPA
0.10035199671983719,0.12284799665212631,0.10317183807492256,0.10239999741315842,0.0034607354300353983,,,,,,8192,64,8,32,131072,1,32,64,True,SDPA
0.09942399710416794,0.2027519941329956,0.1042988781630993,0.1016319990158081,0.014167841264801138,,,,,,8192,64,8,32,131072,1,32,96,True,SDPA
0.10035199671983719,0.12902399897575378,0.10303295820951462,0.10239999741315842,0.003902910330148395,,,,,,8192,64,8,32,131072,1,32,128,True,SDPA
0.10035199671983719,0.12495999783277512,0.10281087815761566,0.10188800096511841,0.0035814070006821965,,,,,,8192,64,8,32,131072,1,32,160,True,SDPA
0.10028800368309021,0.12492799758911133,0.10288511827588082,0.10236799716949463,0.003614268519022387,,,,,,8192,64,8,32,131072,1,32,192,True,SDPA
0.10035199671983719,0.11980800330638885,0.1028543981909752,0.10236799716949463,0.003087959499516706,,,,,,8192,64,8,32,131072,1,32,224,True,SDPA
0.10028800368309021,0.11059200018644333,0.10190271779894829,0.1013759970664978,0.0019364441192598844,,,,,,8192,64,8,32,131072,1,32,256,True,SDPA
0.09932799637317657,0.11769600212574005,0.10239743769168853,0.1013919971883297,0.0028597828622975684,,,,,,8192,64,8,32,131072,1,32,288,True,SDPA
0.10035199671983719,0.11264000087976456,0.10247679844498635,0.10233599692583084,0.0021251955209585656,,,,,,8192,64,8,32,131072,1,32,320,True,SDPA
0.09955199807882309,0.10950399935245514,0.10199359819293022,0.10145599767565727,0.0016463216789906754,,,,,,8192,64,8,32,131072,1,32,352,True,SDPA
0.09932799637317657,0.12515200674533844,0.10226623833179474,0.1013759970664978,0.0037102833013705613,,,,,,8192,64,8,32,131072,1,32,384,True,SDPA
0.10054399818181992,0.3253439962863922,0.10739967793226242,0.10239999741315842,0.031199010275062403,,,,,,8192,64,8,32,131072,1,32,416,True,SDPA
0.10060799866914749,0.12697599828243256,0.1034278379380703,0.1024319976568222,0.0036675556096384706,,,,,,8192,64,8,32,131072,1,32,448,True,SDPA
0.10035199671983719,0.1117440015077591,0.10295807778835296,0.10239999741315842,0.00185923273297925,,,,,,8192,64,8,32,131072,1,32,480,True,SDPA
0.10127999633550644,0.11190400272607803,0.10329663813114166,0.10335999727249146,0.0017901883008681,,,,,,8192,64,8,32,131072,1,32,512,True,SDPA
0.09939199686050415,0.11366400122642517,0.10290111809968948,0.10239999741315842,0.00229551911091241,,,,,,8192,64,8,32,131072,1,32,544,True,SDPA
0.10047999769449234,0.1228799968957901,0.10336575821042061,0.10246399790048599,0.0033937487642597287,,,,,,8192,64,8,32,131072,1,32,576,True,SDPA
0.10147199779748917,0.11350400000810623,0.1040492781996727,0.10342399775981903,0.00231698768246388,,,,,,8192,64,8,32,131072,1,32,608,True,SDPA
0.10230399668216705,0.1247360035777092,0.10448767796158791,0.10345599800348282,0.0033000469062060105,,,,,,8192,64,8,32,131072,1,32,640,True,SDPA
0.1021760031580925,0.11267200112342834,0.1041491186618805,0.10359999909996986,0.002151434293791698,,,,,,8192,64,8,32,131072,1,32,672,True,SDPA
0.10140799731016159,0.11366400122642517,0.10371199831366539,0.10342399775981903,0.001905341879708337,,,,,,8192,64,8,32,131072,1,32,704,True,SDPA
0.10147199779748917,0.10940799862146378,0.10329343825578689,0.1032319962978363,0.001436252406324578,,,,,,8192,64,8,32,131072,1,32,736,True,SDPA
0.1013759970664978,0.11177600175142288,0.10377855837345124,0.10342399775981903,0.00189696982608251,,,,,,8192,64,8,32,131072,1,32,768,True,SDPA
0.10115200281143188,0.12185599654912949,0.103557757884264,0.10321599990129471,0.003010162157610444,,,,,,8192,64,8,32,131072,1,32,800,True,SDPA
0.10035199671983719,0.1157120019197464,0.10286783799529076,0.10239999741315842,0.0021692314274249416,,,,,,8192,64,8,32,131072,1,32,832,True,SDPA
0.10140799731016159,0.11059200018644333,0.10364095821976661,0.10342399775981903,0.0016753252447428018,,,,,,8192,64,8,32,131072,1,32,864,True,SDPA
0.1013759970664978,0.11155200004577637,0.10298879817128181,0.10239999741315842,0.0020168028227880884,,,,,,8192,64,8,32,131072,1,32,896,True,SDPA
0.10054399818181992,0.1085439994931221,0.10253631770610809,0.10239999741315842,0.00143730728417587,,,,,,8192,64,8,32,131072,1,32,928,True,SDPA
0.10028800368309021,0.1157120019197464,0.10251263841986656,0.1021600030362606,0.0026033789809681825,,,,,,8192,64,8,32,131072,1,32,960,True,SDPA
0.10035199671983719,0.11760000139474869,0.1029491175711155,0.10239999741315842,0.00263735478649858,,,,,,8192,64,8,32,131072,1,32,992,True,SDPA
0.1016319990158081,0.11347199976444244,0.10410559803247452,0.10342399775981903,0.0022731112724237034,,,,,,8192,64,8,32,131072,1,32,1024,True,SDPA
0.1021760031580925,0.11881600320339203,0.10406719818711281,0.10342399775981903,0.002887814149310698,,,,,,8192,64,8,32,131072,1,32,1056,True,SDPA
0.1013759970664978,0.11264000087976456,0.10342079862952232,0.10291200131177902,0.0019580994944293057,,,,,,8192,64,8,32,131072,1,32,1088,True,SDPA
0.1013759970664978,0.11078400164842606,0.10353343814611435,0.10342399775981903,0.0016470290334096565,,,,,,8192,64,8,32,131072,1,32,1120,True,SDPA
0.1013759970664978,0.11980800330638885,0.10347199827432632,0.1024479977786541,0.0027387838293075166,,,,,,8192,64,8,32,131072,1,32,1152,True,SDPA
0.10131199657917023,0.11958400160074234,0.10359999790787697,0.10339199751615524,0.002696924729589496,,,,,,8192,64,8,32,131072,1,32,1184,True,SDPA
0.10127999633550644,0.12185599654912949,0.1029913580417633,0.10239999741315842,0.00305713909073966,,,,,,8192,64,8,32,131072,1,32,1216,True,SDPA
0.10147199779748917,0.12067200243473053,0.10358975812792778,0.10262399911880493,0.0029670043541087376,,,,,,8192,64,8,32,131072,1,32,1248,True,SDPA
0.10044799745082855,0.10979200154542923,0.10316031783819199,0.10255999863147736,0.0017331787079913476,,,,,,8192,64,8,32,131072,1,32,1280,True,SDPA
0.1013759970664978,0.10963200032711029,0.10302847802639008,0.10246399790048599,0.0014827543274423143,,,,,,8192,64,8,32,131072,1,32,1312,True,SDPA
0.1013759970664978,0.11366400122642517,0.10359167829155921,0.10340799763798714,0.0021399423816218723,,,,,,8192,64,8,32,131072,1,32,1344,True,SDPA
0.10140799731016159,0.11161600053310394,0.10365759834647179,0.10342399775981903,0.0016427102944865193,,,,,,8192,64,8,32,131072,1,32,1376,True,SDPA
0.1013759970664978,0.12201599776744843,0.10399039804935456,0.10342399775981903,0.0031425844961490037,,,,,,8192,64,8,32,131072,1,32,1408,True,SDPA
0.1013759970664978,0.11142399907112122,0.10343103811144828,0.10332799702882767,0.0017987794142815842,,,,,,8192,64,8,32,131072,1,32,1440,True,SDPA
0.10060799866914749,0.11049599945545197,0.10334975823760033,0.10316800326108932,0.0019596696800176375,,,,,,8192,64,8,32,131072,1,32,1472,True,SDPA
0.10230399668216705,0.11059200018644333,0.10356799796223641,0.10342399775981903,0.001587990584917649,,,,,,8192,64,8,32,131072,1,32,1504,True,SDPA
0.10051199793815613,0.1085439994931221,0.10298751816153526,0.10251199826598167,0.0014231157736689839,,,,,,8192,64,8,32,131072,1,32,1536,True,SDPA
0.10233599692583084,0.11168000102043152,0.10344447836279869,0.10335999727249146,0.0014096541130437386,,,,,,8192,64,8,32,131072,1,32,1568,True,SDPA
0.10134399682283401,0.12067200243473053,0.10364415839314461,0.10289600118994713,0.003382578821087641,,,,,,8192,64,8,32,131072,1,32,1600,True,SDPA
0.10239999741315842,0.11264000087976456,0.10408767834305763,0.10356799885630608,0.0018581708865411093,,,,,,8192,64,8,32,131072,1,32,1632,True,SDPA
0.10239999741315842,0.1228799968957901,0.1042860785126686,0.10342399775981903,0.0031488157167655433,,,,,,8192,64,8,32,131072,1,32,1664,True,SDPA
0.10143999755382538,0.12803199887275696,0.1045401580631733,0.10342399775981903,0.004403366445694444,,,,,,8192,64,8,32,131072,1,32,1696,True,SDPA
