2026/05/22 07:34:48.000, npu1, 39.00
2026/05/22 07:34:49.000, npu0, 38.40
2026/05/22 07:34:49.000, npu1, 39.00
2026/05/22 07:34:49.000, npu0, 38.40
2026/05/22 07:34:49.000, npu1, 39.00
2026/05/22 07:34:50.000, npu0, 38.40
2026/05/22 07:34:50.000, npu1, 39.00
2026/05/22 07:34:50.000, npu0, 38.40
2026/05/22 07:34:50.000, npu1, 39.00
2026/05/22 07:34:51.000, npu0, 38.40
2026/05/22 07:34:51.000, npu1, 39.00
2026/05/22 07:34:51.000, npu0, 38.40
2026/05/22 07:34:51.000, npu1, 39.00
2026/05/22 07:34:52.000, npu0, 38.40
2026/05/22 07:34:52.000, npu1, 39.00
2026/05/22 07:34:52.000, npu0, 38.40
2026/05/22 07:34:52.000, npu1, 39.00
2026/05/22 07:34:54.000, npu0, 38.40
2026/05/22 07:34:54.000, npu1, 39.00
2026/05/22 07:34:54.000, npu0, 38.40
2026/05/22 07:34:54.000, npu1, 39.00
2026/05/22 07:34:55.000, npu0, 38.40
2026/05/22 07:34:55.000, npu1, 39.00
2026/05/22 07:34:55.000, npu0, 38.40
2026/05/22 07:34:55.000, npu1, 39.00
2026/05/22 07:34:56.000, npu0, 38.40
2026/05/22 07:34:56.000, npu1, 39.00
2026/05/22 07:34:56.000, npu0, 38.40
2026/05/22 07:34:56.000, npu1, 39.00
2026/05/22 07:34:57.000, npu0, 38.40
2026/05/22 07:34:57.000, npu1, 39.00
2026/05/22 07:34:57.000, npu0, 38.40
2026/05/22 07:34:57.000, npu1, 39.00
2026/05/22 07:34:58.000, npu0, 38.40
2026/05/22 07:34:58.000, npu1, 39.00
2026/05/22 07:34:58.000, npu0, 38.40
2026/05/22 07:34:58.000, npu1, 39.00
2026/05/22 07:34:59.000, npu0, 38.40
2026/05/22 07:34:59.000, npu1, 39.00
2026/05/22 07:34:59.000, npu0, 38.40
2026/05/22 07:34:59.000, npu1, 39.00
2026/05/22 07:35:01.000, npu0, 38.40
2026/05/22 07:35:01.000, npu1, 39.00
2026/05/22 07:35:01.000, npu0, 38.40
