layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,4,2894
input_layernorm,1,0,4,18536
q_proj,1,0,4,16579
k_proj,1,0,4,5035
v_proj,1,0,4,4698
rope,1,0,4,15418
attn,1,0,4,4510
o_proj,1,0,4,14058
post_layernorm,1,0,4,19358
gate_proj,1,0,4,43963
up_proj,1,0,4,43734
act_fn,1,0,4,2212
down_proj,1,0,4,44332
final_layernorm,1,0,4,18998
lm_head,1,0,4,374817
embedding,2,0,4,3440
input_layernorm,2,0,4,21027
q_proj,2,0,4,21428
k_proj,2,0,4,8293
v_proj,2,0,4,7967
rope,2,0,4,17932
attn,2,0,4,4355
o_proj,2,0,4,13830
post_layernorm,2,0,4,22020
gate_proj,2,0,4,46990
up_proj,2,0,4,46980
act_fn,2,0,4,2427
down_proj,2,0,4,44868
final_layernorm,2,0,4,21656
lm_head,2,0,4,375566
embedding,3,0,4,3952
input_layernorm,3,0,4,20982
q_proj,3,0,4,21445
k_proj,3,0,4,8305
v_proj,3,0,4,7999
rope,3,0,4,17968
attn,3,0,4,4356
o_proj,3,0,4,13889
post_layernorm,3,0,4,22048
gate_proj,3,0,4,46980
up_proj,3,0,4,47065
act_fn,3,0,4,2428
down_proj,3,0,4,44851
final_layernorm,3,0,4,21645
lm_head,3,0,4,376589
embedding,4,0,4,4521
input_layernorm,4,0,4,21786
q_proj,4,0,4,21454
k_proj,4,0,4,8313
v_proj,4,0,4,7994
rope,4,0,4,18398
attn,4,0,4,4356
o_proj,4,0,4,13851
post_layernorm,4,0,4,22917
gate_proj,4,0,4,47119
up_proj,4,0,4,47119
act_fn,4,0,4,2451
down_proj,4,0,4,45031
final_layernorm,4,0,4,22653
lm_head,4,0,4,377274
embedding,5,0,4,5187
input_layernorm,5,0,4,21771
q_proj,5,0,4,21445
k_proj,5,0,4,8318
v_proj,5,0,4,8003
rope,5,0,4,18045
attn,5,0,4,4368
o_proj,5,0,4,13918
post_layernorm,5,0,4,22894
gate_proj,5,0,4,47320
up_proj,5,0,4,47189
act_fn,5,0,4,2470
down_proj,5,0,4,44992
final_layernorm,5,0,4,22582
lm_head,5,0,4,378162
embedding,6,0,4,5770
input_layernorm,6,0,4,21916
q_proj,6,0,4,21465
k_proj,6,0,4,8337
v_proj,6,0,4,7999
rope,6,0,4,18240
attn,6,0,4,4370
o_proj,6,0,4,13917
post_layernorm,6,0,4,22888
gate_proj,6,0,4,55945
up_proj,6,0,4,56071
act_fn,6,0,4,2494
down_proj,6,0,4,45147
final_layernorm,6,0,4,22306
lm_head,6,0,4,378966
embedding,7,0,4,6265
input_layernorm,7,0,4,21956
q_proj,7,0,4,21523
k_proj,7,0,4,8337
v_proj,7,0,4,8020
rope,7,0,4,18158
attn,7,0,4,4377
o_proj,7,0,4,13980
post_layernorm,7,0,4,22948
gate_proj,7,0,4,55992
up_proj,7,0,4,56004
act_fn,7,0,4,2546
down_proj,7,0,4,44987
final_layernorm,7,0,4,22356
lm_head,7,0,4,379270
embedding,8,0,4,6821
input_layernorm,8,0,4,23531
q_proj,8,0,4,21554
k_proj,8,0,4,8385
v_proj,8,0,4,8004
rope,8,0,4,18369
attn,8,0,4,4376
o_proj,8,0,4,14016
post_layernorm,8,0,4,24212
gate_proj,8,0,4,55938
up_proj,8,0,4,56013
act_fn,8,0,4,2571
down_proj,8,0,4,45225
final_layernorm,8,0,4,23553
lm_head,8,0,4,379567
embedding,9,0,4,7501
input_layernorm,9,0,4,23632
q_proj,9,0,4,21575
k_proj,9,0,4,8357
v_proj,9,0,4,8030
rope,9,0,4,18117
attn,9,0,4,4376
o_proj,9,0,4,14089
post_layernorm,9,0,4,24609
gate_proj,9,0,4,56036
up_proj,9,0,4,56031
act_fn,9,0,4,2595
down_proj,9,0,4,45044
final_layernorm,9,0,4,23962
lm_head,9,0,4,380612
embedding,10,0,4,8138
input_layernorm,10,0,4,23771
q_proj,10,0,4,25957
k_proj,10,0,4,8406
v_proj,10,0,4,8030
