layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,1,68436
input_layernorm,1,0,1,1
q_proj,1,0,1,1
k_proj,1,0,1,1
v_proj,1,0,1,1
rope,1,0,1,1
attn,1,0,1,1
o_proj,1,0,1,1
post_layernorm,1,0,1,1
gate_proj,1,0,1,373361
up_proj,1,0,1,1
act_fn,1,0,1,1
down_proj,1,0,1,1
final_layernorm,1,0,1,9352
lm_head,1,0,1,792943
embedding,2,0,1,68672
input_layernorm,2,0,1,1
q_proj,2,0,1,1
k_proj,2,0,1,1
v_proj,2,0,1,1
rope,2,0,1,1
attn,2,0,1,1
o_proj,2,0,1,1
post_layernorm,2,0,1,1
gate_proj,2,0,1,374028
up_proj,2,0,1,1
act_fn,2,0,1,1
down_proj,2,0,1,1
final_layernorm,2,0,1,9368
lm_head,2,0,1,794265
embedding,3,0,1,68909
input_layernorm,3,0,1,1
q_proj,3,0,1,1
k_proj,3,0,1,1
v_proj,3,0,1,1
rope,3,0,1,1
attn,3,0,1,1
o_proj,3,0,1,1
post_layernorm,3,0,1,1
gate_proj,3,0,1,374695
up_proj,3,0,1,1
act_fn,3,0,1,1
down_proj,3,0,1,1
final_layernorm,3,0,1,9383
lm_head,3,0,1,795589
embedding,4,0,1,69145
input_layernorm,4,0,1,1
q_proj,4,0,1,1
k_proj,4,0,1,1
v_proj,4,0,1,1
rope,4,0,1,1
attn,4,0,1,1
o_proj,4,0,1,1
post_layernorm,4,0,1,1
gate_proj,4,0,1,375363
up_proj,4,0,1,1
act_fn,4,0,1,1
down_proj,4,0,1,1
final_layernorm,4,0,1,9399
lm_head,4,0,1,796910
embedding,5,0,1,69381
input_layernorm,5,0,1,1
q_proj,5,0,1,1
k_proj,5,0,1,1
v_proj,5,0,1,1
rope,5,0,1,1
attn,5,0,1,1
o_proj,5,0,1,1
post_layernorm,5,0,1,1
gate_proj,5,0,1,376030
up_proj,5,0,1,1
act_fn,5,0,1,1
down_proj,5,0,1,1
final_layernorm,5,0,1,9415
lm_head,5,0,1,798232
embedding,6,0,1,69618
input_layernorm,6,0,1,1
q_proj,6,0,1,1
k_proj,6,0,1,1
v_proj,6,0,1,1
rope,6,0,1,1
attn,6,0,1,1
o_proj,6,0,1,1
post_layernorm,6,0,1,1
gate_proj,6,0,1,376697
up_proj,6,0,1,1
act_fn,6,0,1,1
down_proj,6,0,1,1
final_layernorm,6,0,1,9430
lm_head,6,0,1,799555
embedding,7,0,1,69854
input_layernorm,7,0,1,1
q_proj,7,0,1,1
k_proj,7,0,1,1
v_proj,7,0,1,1
rope,7,0,1,1
attn,7,0,1,1
o_proj,7,0,1,1
post_layernorm,7,0,1,1
gate_proj,7,0,1,377364
up_proj,7,0,1,1
act_fn,7,0,1,1
down_proj,7,0,1,1
final_layernorm,7,0,1,9446
lm_head,7,0,1,800878
embedding,8,0,1,70090
input_layernorm,8,0,1,1
q_proj,8,0,1,1
k_proj,8,0,1,1
v_proj,8,0,1,1
rope,8,0,1,1
attn,8,0,1,1
o_proj,8,0,1,1
post_layernorm,8,0,1,1
gate_proj,8,0,1,378032
up_proj,8,0,1,1
act_fn,8,0,1,1
down_proj,8,0,1,1
final_layernorm,8,0,1,9461
lm_head,8,0,1,802200
embedding,9,0,1,70327
input_layernorm,9,0,1,1
q_proj,9,0,1,1
k_proj,9,0,1,1
v_proj,9,0,1,1
rope,9,0,1,1
attn,9,0,1,1
o_proj,9,0,1,1
post_layernorm,9,0,1,1
gate_proj,9,0,1,378699
up_proj,9,0,1,1
act_fn,9,0,1,1
down_proj,9,0,1,1
final_layernorm,9,0,1,9477
lm_head,9,0,1,803522
embedding,10,0,1,70563
input_layernorm,10,0,1,1
q_proj,10,0,1,1
k_proj,10,0,1,1
v_proj,10,0,1,1
rope,10,0,1,1
attn,10,0,1,1
o_proj,10,0,1,1
post_layernorm,10,0,1,1
gate_proj,10,0,1,379366
up_proj,10,0,1,1
act_fn,10,0,1,1
down_proj,10,0,1,1
final_layernorm,10,0,1,9493
lm_head,10,0,1,804845
embedding,11,0,1,70799
input_layernorm,11,0,1,1
q_proj,11,0,1,1
k_proj,11,0,1,1
v_proj,11,0,1,1
rope,11,0,1,1
attn,11,0,1,1
o_proj,11,0,1,1
post_layernorm,11,0,1,1
gate_proj,11,0,1,380033
up_proj,11,0,1,1
act_fn,11,0,1,1
down_proj,11,0,1,1
final_layernorm,11,0,1,9508
lm_head,11,0,1,806168
embedding,12,0,1,71036
input_layernorm,12,0,1,1
q_proj,12,0,1,1
k_proj,12,0,1,1
v_proj,12,0,1,1
rope,12,0,1,1
attn,12,0,1,1
o_proj,12,0,1,1
post_layernorm,12,0,1,1
gate_proj,12,0,1,380701
up_proj,12,0,1,1
act_fn,12,0,1,1
down_proj,12,0,1,1
final_layernorm,12,0,1,9524
lm_head,12,0,1,807489
embedding,13,0,1,71272
input_layernorm,13,0,1,1
q_proj,13,0,1,1
k_proj,13,0,1,1
v_proj,13,0,1,1
rope,13,0,1,1
attn,13,0,1,1
o_proj,13,0,1,1
post_layernorm,13,0,1,1
gate_proj,13,0,1,381368
up_proj,13,0,1,1
act_fn,13,0,1,1
down_proj,13,0,1,1
final_layernorm,13,0,1,9539
lm_head,13,0,1,808812
embedding,14,0,1,71508
input_layernorm,14,0,1,1
q_proj,14,0,1,1
k_proj,14,0,1,1
v_proj,14,0,1,1
rope,14,0,1,1
attn,14,0,1,1
o_proj,14,0,1,1
post_layernorm,14,0,1,1
gate_proj,14,0,1,382035
up_proj,14,0,1,1
act_fn,14,0,1,1
down_proj,14,0,1,1
final_layernorm,14,0,1,9555
lm_head,14,0,1,810135
embedding,15,0,1,71745
input_layernorm,15,0,1,1
q_proj,15,0,1,1
k_proj,15,0,1,1
v_proj,15,0,1,1
rope,15,0,1,1
attn,15,0,1,1
o_proj,15,0,1,1
post_layernorm,15,0,1,1
gate_proj,15,0,1,382702
up_proj,15,0,1,1
act_fn,15,0,1,1
down_proj,15,0,1,1
final_layernorm,15,0,1,9571
lm_head,15,0,1,811457
embedding,16,0,1,71981
input_layernorm,16,0,1,1
q_proj,16,0,1,1
k_proj,16,0,1,1
v_proj,16,0,1,1
rope,16,0,1,1
attn,16,0,1,1
o_proj,16,0,1,1
post_layernorm,16,0,1,1
gate_proj,16,0,1,383370
up_proj,16,0,1,1
act_fn,16,0,1,1
down_proj,16,0,1,1
final_layernorm,16,0,1,9586
lm_head,16,0,1,812779
embedding,17,0,1,72217
input_layernorm,17,0,1,1
q_proj,17,0,1,1
k_proj,17,0,1,1
v_proj,17,0,1,1
rope,17,0,1,1
attn,17,0,1,1
o_proj,17,0,1,1
post_layernorm,17,0,1,1
gate_proj,17,0,1,384037
up_proj,17,0,1,1
act_fn,17,0,1,1
down_proj,17,0,1,1
final_layernorm,17,0,1,9602
lm_head,17,0,1,814102
embedding,18,0,1,72454
input_layernorm,18,0,1,1
q_proj,18,0,1,1
k_proj,18,0,1,1
v_proj,18,0,1,1
rope,18,0,1,1
attn,18,0,1,1
o_proj,18,0,1,1
post_layernorm,18,0,1,1
gate_proj,18,0,1,384704
up_proj,18,0,1,1
act_fn,18,0,1,1
down_proj,18,0,1,1
final_layernorm,18,0,1,9617
lm_head,18,0,1,815425
embedding,19,0,1,72690
input_layernorm,19,0,1,1
q_proj,19,0,1,1
k_proj,19,0,1,1
v_proj,19,0,1,1
rope,19,0,1,1
attn,19,0,1,1
o_proj,19,0,1,1
post_layernorm,19,0,1,1
gate_proj,19,0,1,385371
up_proj,19,0,1,1
act_fn,19,0,1,1
down_proj,19,0,1,1
final_layernorm,19,0,1,9633
lm_head,19,0,1,816747
embedding,20,0,1,72926
input_layernorm,20,0,1,1
q_proj,20,0,1,1
k_proj,20,0,1,1
v_proj,20,0,1,1
rope,20,0,1,1
attn,20,0,1,1
o_proj,20,0,1,1
post_layernorm,20,0,1,1
gate_proj,20,0,1,386039
up_proj,20,0,1,1
act_fn,20,0,1,1
down_proj,20,0,1,1
final_layernorm,20,0,1,9649
lm_head,20,0,1,818069
embedding,21,0,1,73163
input_layernorm,21,0,1,1
q_proj,21,0,1,1
k_proj,21,0,1,1
v_proj,21,0,1,1
rope,21,0,1,1
attn,21,0,1,1
o_proj,21,0,1,1
post_layernorm,21,0,1,1
gate_proj,21,0,1,386706
up_proj,21,0,1,1
act_fn,21,0,1,1
down_proj,21,0,1,1
final_layernorm,21,0,1,9664
lm_head,21,0,1,819392
