layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,8,2622
input_layernorm,1,0,8,8022
q_proj,1,0,8,6489
k_proj,1,0,8,2233
v_proj,1,0,8,2213
rope,1,0,8,9930
o_proj,1,0,8,6001
post_layernorm,1,0,8,8353
gate,1,0,8,57192
expert.w1,1,0,8,11498
expert.w3,1,0,8,11456
act_fn,1,0,8,4002
expert.w2,1,0,8,14360
final_layernorm,1,0,8,8280
lm_head,1,0,8,42321
embedding,2,0,8,3151
input_layernorm,2,0,8,7839
q_proj,2,0,8,11995
k_proj,2,0,8,3516
v_proj,2,0,8,3290
rope,2,0,8,11972
o_proj,2,0,8,6652
post_layernorm,2,0,8,8136
gate,2,0,8,76620
expert.w1,2,0,8,21233
expert.w3,2,0,8,21397
act_fn,2,0,8,4452
expert.w2,2,0,8,12213
final_layernorm,2,0,8,7926
lm_head,2,0,8,41023
embedding,3,0,8,3674
input_layernorm,3,0,8,7855
q_proj,3,0,8,11998
k_proj,3,0,8,3521
v_proj,3,0,8,3313
rope,3,0,8,12548
o_proj,3,0,8,6730
post_layernorm,3,0,8,8136
gate,3,0,8,76776
expert.w1,3,0,8,21227
expert.w3,3,0,8,21420
act_fn,3,0,8,4445
expert.w2,3,0,8,12211
final_layernorm,3,0,8,7940
lm_head,3,0,8,41032
embedding,4,0,8,4143
input_layernorm,4,0,8,7850
q_proj,4,0,8,12003
k_proj,4,0,8,3532
v_proj,4,0,8,3319
rope,4,0,8,12964
o_proj,4,0,8,6652
post_layernorm,4,0,8,8166
gate,4,0,8,76060
expert.w1,4,0,8,21259
expert.w3,4,0,8,21424
act_fn,4,0,8,4356
expert.w2,4,0,8,12288
final_layernorm,4,0,8,7960
lm_head,4,0,8,41076
embedding,5,0,8,4891
input_layernorm,5,0,8,7905
q_proj,5,0,8,11996
k_proj,5,0,8,3538
v_proj,5,0,8,3339
rope,5,0,8,12976
o_proj,5,0,8,6705
post_layernorm,5,0,8,8206
gate,5,0,8,76943
expert.w1,5,0,8,21251
expert.w3,5,0,8,21455
act_fn,5,0,8,4411
expert.w2,5,0,8,12312
final_layernorm,5,0,8,8078
lm_head,5,0,8,41137
embedding,6,0,8,5297
input_layernorm,6,0,8,7886
q_proj,6,0,8,12005
k_proj,6,0,8,3534
v_proj,6,0,8,3354
rope,6,0,8,13013
o_proj,6,0,8,6731
post_layernorm,6,0,8,8230
gate,6,0,8,76249
expert.w1,6,0,8,21222
expert.w3,6,0,8,21462
act_fn,6,0,8,4294
expert.w2,6,0,8,12321
final_layernorm,6,0,8,7867
lm_head,6,0,8,41184
embedding,7,0,8,5864
input_layernorm,7,0,8,7935
q_proj,7,0,8,12005
k_proj,7,0,8,3537
v_proj,7,0,8,3371
rope,7,0,8,12974
o_proj,7,0,8,6732
post_layernorm,7,0,8,8238
gate,7,0,8,77169
expert.w1,7,0,8,21249
expert.w3,7,0,8,21450
act_fn,7,0,8,4164
expert.w2,7,0,8,12342
final_layernorm,7,0,8,8029
lm_head,7,0,8,41207
embedding,8,0,8,6335
input_layernorm,8,0,8,7954
q_proj,8,0,8,12006
k_proj,8,0,8,3557
v_proj,8,0,8,3362
rope,8,0,8,12947
o_proj,8,0,8,6783
post_layernorm,8,0,8,8247
gate,8,0,8,76440
expert.w1,8,0,8,21249
expert.w3,8,0,8,21441
act_fn,8,0,8,4121
expert.w2,8,0,8,12301
final_layernorm,8,0,8,8105
lm_head,8,0,8,41179
embedding,9,0,8,7084
input_layernorm,9,0,8,7843
q_proj,9,0,8,11999
k_proj,9,0,8,3569
v_proj,9,0,8,3386
rope,9,0,8,13007
o_proj,9,0,8,6714
post_layernorm,9,0,8,8149
gate,9,0,8,79139
expert.w1,9,0,8,21305
expert.w3,9,0,8,21466
act_fn,9,0,8,3998
expert.w2,9,0,8,12360
final_layernorm,9,0,8,8002
lm_head,9,0,8,41249
embedding,10,0,8,7500
input_layernorm,10,0,8,7838
q_proj,10,0,8,12004
k_proj,10,0,8,3550
v_proj,10,0,8,3391
rope,10,0,8,12995
o_proj,10,0,8,6748
post_layernorm,10,0,8,8141
gate,10,0,8,78257
expert.w1,10,0,8,21290
expert.w3,10,0,8,21477
act_fn,10,0,8,3973
expert.w2,10,0,8,12452
final_layernorm,10,0,8,8019
lm_head,10,0,8,41354
embedding,11,0,8,8094
input_layernorm,11,0,8,7865
q_proj,11,0,8,12000
k_proj,11,0,8,3539
v_proj,11,0,8,3381
rope,11,0,8,13024
o_proj,11,0,8,6757
post_layernorm,11,0,8,8163
gate,11,0,8,79146
expert.w1,11,0,8,21271
expert.w3,11,0,8,21560
act_fn,11,0,8,3963
expert.w2,11,0,8,12456
final_layernorm,11,0,8,8012
lm_head,11,0,8,41336
embedding,12,0,8,8489
input_layernorm,12,0,8,7877
q_proj,12,0,8,12004
k_proj,12,0,8,3567
v_proj,12,0,8,3383
rope,12,0,8,13103
o_proj,12,0,8,6774
post_layernorm,12,0,8,8162
gate,12,0,8,78103
expert.w1,12,0,8,21319
expert.w3,12,0,8,21500
act_fn,12,0,8,3963
expert.w2,12,0,8,12551
final_layernorm,12,0,8,8024
lm_head,12,0,8,41393
embedding,13,0,8,9175
input_layernorm,13,0,8,7878
q_proj,13,0,8,12004
k_proj,13,0,8,3564
v_proj,13,0,8,3398
rope,13,0,8,13054
o_proj,13,0,8,6812
post_layernorm,13,0,8,8150
gate,13,0,8,79147
expert.w1,13,0,8,21299
expert.w3,13,0,8,21625
act_fn,13,0,8,3960
expert.w2,13,0,8,12499
final_layernorm,13,0,8,8050
lm_head,13,0,8,41389
embedding,14,0,8,9689
input_layernorm,14,0,8,7875
q_proj,14,0,8,11997
k_proj,14,0,8,3539
v_proj,14,0,8,3412
rope,14,0,8,13031
o_proj,14,0,8,6815
post_layernorm,14,0,8,8161
gate,14,0,8,78570
expert.w1,14,0,8,21305
expert.w3,14,0,8,21592
act_fn,14,0,8,3958
expert.w2,14,0,8,12572
final_layernorm,14,0,8,8053
lm_head,14,0,8,41507
embedding,15,0,8,10401
input_layernorm,15,0,8,7888
q_proj,15,0,8,12017
k_proj,15,0,8,3555
v_proj,15,0,8,3406
rope,15,0,8,13015
o_proj,15,0,8,6925
post_layernorm,15,0,8,8148
gate,15,0,8,79325
expert.w1,15,0,8,21288
expert.w3,15,0,8,21545
act_fn,15,0,8,3971
expert.w2,15,0,8,12512
final_layernorm,15,0,8,8045
lm_head,15,0,8,41448
embedding,16,0,8,10852
input_layernorm,16,0,8,7775
q_proj,16,0,8,12007
k_proj,16,0,8,3665
v_proj,16,0,8,3490
rope,16,0,8,13061
o_proj,16,0,8,6829
post_layernorm,16,0,8,8039
gate,16,0,8,78649
expert.w1,16,0,8,21303
expert.w3,16,0,8,21828
act_fn,16,0,8,3955
expert.w2,16,0,8,12726
final_layernorm,16,0,8,7961
lm_head,16,0,8,41685
embedding,17,0,8,3307
input_layernorm,17,0,8,7783
q_proj,17,0,8,6476
k_proj,17,0,8,3588
v_proj,17,0,8,3306
rope,17,0,8,13031
o_proj,17,0,8,6708
post_layernorm,17,0,8,8079
gate,17,0,8,73111
expert.w1,17,0,8,16425
expert.w3,17,0,8,15954
act_fn,17,0,8,4130
expert.w2,17,0,8,14207
final_layernorm,17,0,8,8002
lm_head,17,0,8,51535
embedding,18,0,8,3324
input_layernorm,18,0,8,7785
q_proj,18,0,8,6494
k_proj,18,0,8,3598
v_proj,18,0,8,3306
rope,18,0,8,13049
o_proj,18,0,8,6726
post_layernorm,18,0,8,8093
gate,18,0,8,72452
expert.w1,18,0,8,16457
expert.w3,18,0,8,15945
act_fn,18,0,8,4052
expert.w2,18,0,8,14215
final_layernorm,18,0,8,7981
lm_head,18,0,8,51710
embedding,19,0,8,3330
input_layernorm,19,0,8,7816
q_proj,19,0,8,6488
k_proj,19,0,8,3601
v_proj,19,0,8,3312
rope,19,0,8,13026
o_proj,19,0,8,6772
post_layernorm,19,0,8,8104
gate,19,0,8,72811
expert.w1,19,0,8,16440
expert.w3,19,0,8,15908
act_fn,19,0,8,4073
expert.w2,19,0,8,14021
final_layernorm,19,0,8,7958
lm_head,19,0,8,51634
embedding,20,0,8,3370
input_layernorm,20,0,8,7823
q_proj,20,0,8,6511
k_proj,20,0,8,3597
v_proj,20,0,8,3316
rope,20,0,8,13079
o_proj,20,0,8,6724
post_layernorm,20,0,8,8091
gate,20,0,8,72364
expert.w1,20,0,8,16387
expert.w3,20,0,8,15933
act_fn,20,0,8,4039
expert.w2,20,0,8,14073
final_layernorm,20,0,8,7999
lm_head,20,0,8,51656
embedding,21,0,8,3824
input_layernorm,21,0,8,7818
q_proj,21,0,8,6532
k_proj,21,0,8,3591
v_proj,21,0,8,3303
rope,21,0,8,13085
o_proj,21,0,8,6743
post_layernorm,21,0,8,8068
gate,21,0,8,73228
expert.w1,21,0,8,16412
expert.w3,21,0,8,15944
act_fn,21,0,8,4004
expert.w2,21,0,8,14013
final_layernorm,21,0,8,7970
lm_head,21,0,8,51583
embedding,22,0,8,3783
input_layernorm,22,0,8,7830
q_proj,22,0,8,6552
k_proj,22,0,8,3588
v_proj,22,0,8,3316
rope,22,0,8,13107
o_proj,22,0,8,6768
post_layernorm,22,0,8,8099
gate,22,0,8,72340
expert.w1,22,0,8,16397
expert.w3,22,0,8,15968
act_fn,22,0,8,3953
expert.w2,22,0,8,13988
final_layernorm,22,0,8,8018
lm_head,22,0,8,51660
embedding,23,0,8,3914
input_layernorm,23,0,8,7836
q_proj,23,0,8,6539
k_proj,23,0,8,3599
v_proj,23,0,8,3316
rope,23,0,8,13131
o_proj,23,0,8,6768
post_layernorm,23,0,8,8090
gate,23,0,8,73138
expert.w1,23,0,8,16439
expert.w3,23,0,8,15926
act_fn,23,0,8,4029
expert.w2,23,0,8,14279
final_layernorm,23,0,8,8012
lm_head,23,0,8,51711
embedding,24,0,8,3770
input_layernorm,24,0,8,7848
q_proj,24,0,8,6535
k_proj,24,0,8,3611
v_proj,24,0,8,3312
rope,24,0,8,13186
o_proj,24,0,8,6784
post_layernorm,24,0,8,8153
gate,24,0,8,72561
expert.w1,24,0,8,16438
expert.w3,24,0,8,15983
act_fn,24,0,8,3931
expert.w2,24,0,8,14215
final_layernorm,24,0,8,8022
lm_head,24,0,8,51929
embedding,25,0,8,3844
input_layernorm,25,0,8,7893
q_proj,25,0,8,6603
k_proj,25,0,8,3600
v_proj,25,0,8,3316
rope,25,0,8,13147
o_proj,25,0,8,6774
post_layernorm,25,0,8,8150
gate,25,0,8,75317
expert.w1,25,0,8,16409
expert.w3,25,0,8,15878
act_fn,25,0,8,3794
expert.w2,25,0,8,14141
final_layernorm,25,0,8,8041
lm_head,25,0,8,51748
embedding,26,0,8,3865
input_layernorm,26,0,8,7906
q_proj,26,0,8,6585
k_proj,26,0,8,3608
v_proj,26,0,8,3321
rope,26,0,8,13147
o_proj,26,0,8,6774
post_layernorm,26,0,8,8169
