layer_name,input,kv_cache,tp_size,latency(ns)
lm_head,13,0,4,80075
embedding,14,0,4,9689
input_layernorm,14,0,4,7875
q_proj,14,0,4,23039
k_proj,14,0,4,6498
v_proj,14,0,4,6278
rope,14,0,4,22397
o_proj,14,0,4,13503
post_layernorm,14,0,4,8161
gate,14,0,4,78111
expert.w1,14,0,4,21360
expert.w3,14,0,4,21652
act_fn,14,0,4,3950
expert.w2,14,0,4,12615
final_layernorm,14,0,4,8053
lm_head,14,0,4,80303
embedding,15,0,4,10401
input_layernorm,15,0,4,7888
q_proj,15,0,4,23077
k_proj,15,0,4,6528
v_proj,15,0,4,6266
rope,15,0,4,22370
o_proj,15,0,4,13722
post_layernorm,15,0,4,8148
gate,15,0,4,78862
expert.w1,15,0,4,21343
expert.w3,15,0,4,21605
act_fn,15,0,4,3963
expert.w2,15,0,4,12555
final_layernorm,15,0,4,8045
lm_head,15,0,4,80188
embedding,16,0,4,10852
input_layernorm,16,0,4,7775
q_proj,16,0,4,23057
k_proj,16,0,4,6730
v_proj,16,0,4,6421
rope,16,0,4,22450
o_proj,16,0,4,13533
post_layernorm,16,0,4,8039
gate,16,0,4,78190
expert.w1,16,0,4,21358
expert.w3,16,0,4,21889
act_fn,16,0,4,3947
expert.w2,16,0,4,12770
final_layernorm,16,0,4,7961
lm_head,16,0,4,80646
embedding,17,0,4,3307
input_layernorm,17,0,4,7783
q_proj,17,0,4,12435
k_proj,17,0,4,6587
v_proj,17,0,4,6082
rope,17,0,4,22398
o_proj,17,0,4,13291
post_layernorm,17,0,4,8079
gate,17,0,4,72684
expert.w1,17,0,4,16468
expert.w3,17,0,4,15999
act_fn,17,0,4,4121
expert.w2,17,0,4,14257
final_layernorm,17,0,4,8002
lm_head,17,0,4,99703
embedding,18,0,4,3324
input_layernorm,18,0,4,7785
q_proj,18,0,4,12470
k_proj,18,0,4,6607
v_proj,18,0,4,6083
rope,18,0,4,22429
o_proj,18,0,4,13327
post_layernorm,18,0,4,8093
gate,18,0,4,72029
expert.w1,18,0,4,16500
expert.w3,18,0,4,15990
act_fn,18,0,4,4044
expert.w2,18,0,4,14265
final_layernorm,18,0,4,7981
lm_head,18,0,4,100041
embedding,19,0,4,3330
input_layernorm,19,0,4,7816
q_proj,19,0,4,12459
k_proj,19,0,4,6612
v_proj,19,0,4,6093
rope,19,0,4,22389
o_proj,19,0,4,13419
post_layernorm,19,0,4,8104
gate,19,0,4,72386
expert.w1,19,0,4,16483
expert.w3,19,0,4,15953
act_fn,19,0,4,4064
expert.w2,19,0,4,14069
final_layernorm,19,0,4,7958
lm_head,19,0,4,99895
embedding,20,0,4,3370
input_layernorm,20,0,4,7823
q_proj,20,0,4,12503
k_proj,20,0,4,6605
v_proj,20,0,4,6099
rope,20,0,4,22480
o_proj,20,0,4,13323
post_layernorm,20,0,4,8091
gate,20,0,4,71941
expert.w1,20,0,4,16430
expert.w3,20,0,4,15978
act_fn,20,0,4,4031
expert.w2,20,0,4,14122
final_layernorm,20,0,4,7999
lm_head,20,0,4,99938
embedding,21,0,4,3824
input_layernorm,21,0,4,7818
q_proj,21,0,4,12543
k_proj,21,0,4,6593
v_proj,21,0,4,6077
rope,21,0,4,22490
o_proj,21,0,4,13361
post_layernorm,21,0,4,8068
gate,21,0,4,72800
expert.w1,21,0,4,16455
expert.w3,21,0,4,15989
act_fn,21,0,4,3996
expert.w2,21,0,4,14061
final_layernorm,21,0,4,7970
lm_head,21,0,4,99796
embedding,22,0,4,3783
input_layernorm,22,0,4,7830
q_proj,22,0,4,12582
k_proj,22,0,4,6588
v_proj,22,0,4,6100
rope,22,0,4,22528
o_proj,22,0,4,13411
post_layernorm,22,0,4,8099
gate,22,0,4,71917
expert.w1,22,0,4,16440
expert.w3,22,0,4,16012
act_fn,22,0,4,3945
expert.w2,22,0,4,14036
final_layernorm,22,0,4,8018
lm_head,22,0,4,99945
embedding,23,0,4,3914
input_layernorm,23,0,4,7836
q_proj,23,0,4,12557
k_proj,23,0,4,6607
v_proj,23,0,4,6101
rope,23,0,4,22570
o_proj,23,0,4,13412
post_layernorm,23,0,4,8090
gate,23,0,4,72711
expert.w1,23,0,4,16482
expert.w3,23,0,4,15971
act_fn,23,0,4,4021
expert.w2,23,0,4,14328
final_layernorm,23,0,4,8012
lm_head,23,0,4,100045
embedding,24,0,4,3770
input_layernorm,24,0,4,7848
q_proj,24,0,4,12549
k_proj,24,0,4,6630
v_proj,24,0,4,6093
rope,24,0,4,22664
o_proj,24,0,4,13442
post_layernorm,24,0,4,8153
gate,24,0,4,72137
expert.w1,24,0,4,16481
expert.w3,24,0,4,16027
act_fn,24,0,4,3923
expert.w2,24,0,4,14265
final_layernorm,24,0,4,8022
lm_head,24,0,4,100466
embedding,25,0,4,3844
input_layernorm,25,0,4,7893
q_proj,25,0,4,12681
k_proj,25,0,4,6610
v_proj,25,0,4,6101
rope,25,0,4,22597
o_proj,25,0,4,13424
post_layernorm,25,0,4,8150
gate,25,0,4,74876
expert.w1,25,0,4,16452
expert.w3,25,0,4,15922
act_fn,25,0,4,3787
expert.w2,25,0,4,14190
final_layernorm,25,0,4,8041
lm_head,25,0,4,100114
embedding,26,0,4,3865
input_layernorm,26,0,4,7906
q_proj,26,0,4,12645
k_proj,26,0,4,6625
v_proj,26,0,4,6110
rope,26,0,4,22597
o_proj,26,0,4,13424
