time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,n_embd,n_q_head,n_kv_head,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
4.64175e-06,4.64175e-06,4.64175e-06,4.64175e-06,0.0,,,,,,4096,32,8,2,131072,1,32,0,True,EDF_PROFILER
9.2835e-06,9.2835e-06,9.2835e-06,9.2835e-06,0.0,,,,,,4096,32,8,2,131072,1,64,0,True,EDF_PROFILER
1.392525e-05,1.392525e-05,1.392525e-05,1.392525e-05,0.0,,,,,,4096,32,8,2,131072,1,96,0,True,EDF_PROFILER
1.8567e-05,1.8567e-05,1.8567e-05,1.8567e-05,0.0,,,,,,4096,32,8,2,131072,1,128,0,True,EDF_PROFILER
2.6856000000000002e-05,2.6856000000000002e-05,2.6856000000000002e-05,2.6856000000000002e-05,0.0,,,,,,4096,32,8,2,131072,1,160,0,True,EDF_PROFILER
3.5145e-05,3.5145e-05,3.5145e-05,3.5145e-05,0.0,,,,,,4096,32,8,2,131072,1,192,0,True,EDF_PROFILER
4.3434000000000005e-05,4.3434000000000005e-05,4.3434000000000005e-05,4.3434000000000005e-05,0.0,,,,,,4096,32,8,2,131072,1,224,0,True,EDF_PROFILER
5.1723000000000006e-05,5.1723000000000006e-05,5.1723000000000006e-05,5.1723000000000006e-05,0.0,,,,,,4096,32,8,2,131072,1,256,0,True,EDF_PROFILER
5.5130875e-05,5.5130875e-05,5.5130875e-05,5.5130875e-05,0.0,,,,,,4096,32,8,2,131072,1,288,0,True,EDF_PROFILER
5.8538750000000006e-05,5.8538750000000006e-05,5.8538750000000006e-05,5.8538750000000006e-05,0.0,,,,,,4096,32,8,2,131072,1,320,0,True,EDF_PROFILER
6.1946625e-05,6.1946625e-05,6.1946625e-05,6.1946625e-05,0.0,,,,,,4096,32,8,2,131072,1,352,0,True,EDF_PROFILER
6.53545e-05,6.53545e-05,6.53545e-05,6.53545e-05,0.0,,,,,,4096,32,8,2,131072,1,384,0,True,EDF_PROFILER
