layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,2,3744
input_layernorm,1,0,2,20640
q_proj,1,0,2,18000
k_proj,1,0,2,8175
v_proj,1,0,2,8000
rope,1,0,2,31697
o_proj,1,0,2,14848
post_layernorm,1,0,2,20928
gate_proj,1,0,2,40704
up_proj,1,0,2,40320
act_fn,1,0,2,5216
down_proj,1,0,2,41681
final_layernorm,1,0,2,21424
lm_head,1,0,2,295523
embedding,2,0,2,4352
input_layernorm,2,0,2,23647
q_proj,2,0,2,2816
k_proj,2,0,2,2864
v_proj,2,0,2,2816
rope,2,0,2,38207
o_proj,2,0,2,15088
post_layernorm,2,0,2,24433
gate_proj,2,0,2,42384
up_proj,2,0,2,40433
act_fn,2,0,2,5313
down_proj,2,0,2,41585
final_layernorm,2,0,2,24639
lm_head,2,0,2,306419
embedding,3,0,2,5039
input_layernorm,3,0,2,24481
q_proj,3,0,2,2816
k_proj,3,0,2,2912
v_proj,3,0,2,2864
rope,3,0,2,39426
o_proj,3,0,2,15344
post_layernorm,3,0,2,25505
gate_proj,3,0,2,42304
up_proj,3,0,2,39952
act_fn,3,0,2,5408
down_proj,3,0,2,41840
final_layernorm,3,0,2,25407
lm_head,3,0,2,308962
embedding,4,0,2,5696
input_layernorm,4,0,2,24848
q_proj,4,0,2,2816
k_proj,4,0,2,2912
v_proj,4,0,2,2879
rope,4,0,2,40400
o_proj,4,0,2,15663
post_layernorm,4,0,2,25054
gate_proj,4,0,2,42096
up_proj,4,0,2,39936
act_fn,4,0,2,5424
down_proj,4,0,2,41904
final_layernorm,4,0,2,25729
lm_head,4,0,2,311219
embedding,5,0,2,6560
input_layernorm,5,0,2,25201
q_proj,5,0,2,2848
k_proj,5,0,2,3040
v_proj,5,0,2,3008
rope,5,0,2,39871
o_proj,5,0,2,15551
post_layernorm,5,0,2,25407
gate_proj,5,0,2,42656
up_proj,5,0,2,41168
act_fn,5,0,2,5471
down_proj,5,0,2,42176
final_layernorm,5,0,2,26128
lm_head,5,0,2,313123
embedding,6,0,2,7312
input_layernorm,6,0,2,25503
q_proj,6,0,2,2848
k_proj,6,0,2,3040
v_proj,6,0,2,3008
rope,6,0,2,41440
o_proj,6,0,2,15616
post_layernorm,6,0,2,25536
gate_proj,6,0,2,42896
up_proj,6,0,2,40496
act_fn,6,0,2,5424
down_proj,6,0,2,42352
final_layernorm,6,0,2,26080
lm_head,6,0,2,313891
embedding,7,0,2,7759
input_layernorm,7,0,2,25855
q_proj,7,0,2,2848
k_proj,7,0,2,3040
v_proj,7,0,2,3024
rope,7,0,2,41792
o_proj,7,0,2,15920
post_layernorm,7,0,2,25951
gate_proj,7,0,2,43120
up_proj,7,0,2,40768
act_fn,7,0,2,5471
down_proj,7,0,2,42544
final_layernorm,7,0,2,26673
lm_head,7,0,2,316100
embedding,8,0,2,8608
input_layernorm,8,0,2,27777
q_proj,8,0,2,2848
k_proj,8,0,2,3040
v_proj,8,0,2,3040
rope,8,0,2,41889
o_proj,8,0,2,15792
post_layernorm,8,0,2,27392
gate_proj,8,0,2,42928
up_proj,8,0,2,40608
act_fn,8,0,2,5441
down_proj,8,0,2,42480
final_layernorm,8,0,2,28175
lm_head,8,0,2,317315
embedding,9,0,2,9375
input_layernorm,9,0,2,27889
q_proj,9,0,2,2879
k_proj,9,0,2,3103
v_proj,9,0,2,3072
rope,9,0,2,42110
o_proj,9,0,2,15536
post_layernorm,9,0,2,28112
gate_proj,9,0,2,43169
up_proj,9,0,2,40816
act_fn,9,0,2,5503
down_proj,9,0,2,42912
final_layernorm,9,0,2,28929
lm_head,9,0,2,319555
embedding,10,0,2,10144
input_layernorm,10,0,2,27648
q_proj,10,0,2,18303
k_proj,10,0,2,3231
v_proj,10,0,2,3072
rope,10,0,2,42304
o_proj,10,0,2,15504
post_layernorm,10,0,2,27808
gate_proj,10,0,2,43136
up_proj,10,0,2,40847
act_fn,10,0,2,5600
down_proj,10,0,2,43120
final_layernorm,10,0,2,28607
lm_head,10,0,2,320739
