layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,8,2545
input_layernorm,1,0,8,7685
q_proj,1,0,8,7645
k_proj,1,0,8,2755
v_proj,1,0,8,2589
rope,1,0,8,8736
attn,1,0,8,1803
o_proj,1,0,8,6767
post_layernorm,1,0,8,8037
gate,1,0,8,49303
expert.w1,1,0,8,11551
expert.w3,1,0,8,11464
act_fn,1,0,8,3645
expert.w2,1,0,8,12971
final_layernorm,1,0,8,7997
lm_head,1,0,8,44736
embedding,2,0,8,3008
input_layernorm,2,0,8,7408
q_proj,2,0,8,8563
k_proj,2,0,8,3674
v_proj,2,0,8,3335
rope,2,0,8,10067
attn,2,0,8,1634
o_proj,2,0,8,6601
post_layernorm,2,0,8,7724
gate,2,0,8,63278
expert.w1,2,0,8,15543
expert.w3,2,0,8,15368
act_fn,2,0,8,4018
expert.w2,2,0,8,12155
final_layernorm,2,0,8,7602
lm_head,2,0,8,44897
embedding,3,0,8,3617
input_layernorm,3,0,8,7494
q_proj,3,0,8,8673
k_proj,3,0,8,3742
v_proj,3,0,8,3406
rope,3,0,8,10823
attn,3,0,8,1689
o_proj,3,0,8,6658
post_layernorm,3,0,8,7842
gate,3,0,8,65922
expert.w1,3,0,8,15747
expert.w3,3,0,8,15802
act_fn,3,0,8,4121
expert.w2,3,0,8,12370
final_layernorm,3,0,8,7715
lm_head,3,0,8,45061
embedding,4,0,8,4022
input_layernorm,4,0,8,7500
q_proj,4,0,8,8682
k_proj,4,0,8,3744
v_proj,4,0,8,3412
rope,4,0,8,11213
attn,4,0,8,1688
o_proj,4,0,8,6627
post_layernorm,4,0,8,7860
gate,4,0,8,65004
expert.w1,4,0,8,15811
expert.w3,4,0,8,15716
act_fn,4,0,8,4014
expert.w2,4,0,8,12327
final_layernorm,4,0,8,7712
lm_head,4,0,8,45059
embedding,5,0,8,4605
input_layernorm,5,0,8,7309
q_proj,5,0,8,8615
k_proj,5,0,8,3680
v_proj,5,0,8,3363
rope,5,0,8,10904
attn,5,0,8,1642
o_proj,5,0,8,6622
post_layernorm,5,0,8,7665
gate,5,0,8,63817
expert.w1,5,0,8,15640
expert.w3,5,0,8,15415
act_fn,5,0,8,3738
expert.w2,5,0,8,12226
final_layernorm,5,0,8,7527
lm_head,5,0,8,44960
embedding,6,0,8,5197
input_layernorm,6,0,8,7556
q_proj,6,0,8,8738
k_proj,6,0,8,3751
v_proj,6,0,8,3424
rope,6,0,8,11269
attn,6,0,8,1699
o_proj,6,0,8,6693
post_layernorm,6,0,8,7902
gate,6,0,8,65179
expert.w1,6,0,8,15899
expert.w3,6,0,8,15696
act_fn,6,0,8,3899
expert.w2,6,0,8,12343
