layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,4,64511
input_layernorm,1,0,4,148607
q_proj,1,0,4,112463
k_proj,1,0,4,72896
v_proj,1,0,4,74816
rope,1,0,4,199295
o_proj,1,0,4,103231
post_layernorm,1,0,4,146431
gate_proj,1,0,4,254976
up_proj,1,0,4,214528
act_fn,1,0,4,7168
down_proj,1,0,4,211968
final_layernorm,1,0,4,24576
lm_head,1,0,4,1036864
embedding,2,0,4,64511
input_layernorm,2,0,4,148479
q_proj,2,0,4,115712
k_proj,2,0,4,64511
v_proj,2,0,4,70656
rope,2,0,4,198687
o_proj,2,0,4,102399
post_layernorm,2,0,4,146320
gate_proj,2,0,4,284576
up_proj,2,0,4,245759
act_fn,2,0,4,6144
down_proj,2,0,4,241664
final_layernorm,2,0,4,26623
lm_head,2,0,4,944127
embedding,3,0,4,64511
input_layernorm,3,0,4,148479
q_proj,3,0,4,116736
k_proj,3,0,4,64511
v_proj,3,0,4,71680
rope,3,0,4,200703
o_proj,3,0,4,103407
post_layernorm,3,0,4,146431
gate_proj,3,0,4,285039
up_proj,3,0,4,245759
act_fn,3,0,4,8191
down_proj,3,0,4,242688
final_layernorm,3,0,4,26623
lm_head,3,0,4,946175
embedding,4,0,4,64511
input_layernorm,4,0,4,148272
q_proj,4,0,4,116736
k_proj,4,0,4,64511
v_proj,4,0,4,70768
rope,4,0,4,199216
o_proj,4,0,4,107519
post_layernorm,4,0,4,145584
gate_proj,4,0,4,285695
up_proj,4,0,4,247807
act_fn,4,0,4,6144
down_proj,4,0,4,243711
final_layernorm,4,0,4,26623
lm_head,4,0,4,946175
embedding,5,0,4,64511
input_layernorm,5,0,4,148479
q_proj,5,0,4,117760
k_proj,5,0,4,62463
v_proj,5,0,4,70848
rope,5,0,4,200176
o_proj,5,0,4,107519
post_layernorm,5,0,4,145408
gate_proj,5,0,4,286720
up_proj,5,0,4,247807
act_fn,5,0,4,8191
down_proj,5,0,4,244736
final_layernorm,5,0,4,26623
lm_head,5,0,4,947295
embedding,6,0,4,64511
input_layernorm,6,0,4,147584
q_proj,6,0,4,117504
k_proj,6,0,4,63039
v_proj,6,0,4,70656
rope,6,0,4,198687
o_proj,6,0,4,107519
post_layernorm,6,0,4,146336
gate_proj,6,0,4,287632
up_proj,6,0,4,248832
act_fn,6,0,4,7168
down_proj,6,0,4,245759
final_layernorm,6,0,4,26607
lm_head,6,0,4,947200
embedding,7,0,4,64511
input_layernorm,7,0,4,148479
q_proj,7,0,4,118784
k_proj,7,0,4,62463
v_proj,7,0,4,70656
rope,7,0,4,200703
o_proj,7,0,4,107519
post_layernorm,7,0,4,146431
gate_proj,7,0,4,287743
up_proj,7,0,4,248832
act_fn,7,0,4,8191
down_proj,7,0,4,245759
final_layernorm,7,0,4,26623
lm_head,7,0,4,949248
embedding,8,0,4,64511
input_layernorm,8,0,4,148528
q_proj,8,0,4,118784
k_proj,8,0,4,62463
v_proj,8,0,4,71584
rope,8,0,4,200719
o_proj,8,0,4,107519
post_layernorm,8,0,4,146672
gate_proj,8,0,4,288767
up_proj,8,0,4,249855
act_fn,8,0,4,7168
down_proj,8,0,4,246784
final_layernorm,8,0,4,26623
lm_head,8,0,4,948224
embedding,9,0,4,64511
input_layernorm,9,0,4,148479
q_proj,9,0,4,119808
k_proj,9,0,4,62063
v_proj,9,0,4,71680
rope,9,0,4,200703
o_proj,9,0,4,107519
post_layernorm,9,0,4,146431
gate_proj,9,0,4,289759
up_proj,9,0,4,249855
act_fn,9,0,4,8191
down_proj,9,0,4,247807
final_layernorm,9,0,4,26623
lm_head,9,0,4,950272
embedding,10,0,4,64511
input_layernorm,10,0,4,148479
q_proj,10,0,4,119616
k_proj,10,0,4,62463
v_proj,10,0,4,71120
rope,10,0,4,200528
o_proj,10,0,4,107519
post_layernorm,10,0,4,146352
gate_proj,10,0,4,290576
up_proj,10,0,4,251440
act_fn,10,0,4,7168
down_proj,10,0,4,248832
final_layernorm,10,0,4,27648
lm_head,10,0,4,951295
