timestamp,index,utilization.gpu,power.draw,memory.used
2026/06/19 10:01:51.022, 1, 0, 24.26, 0
2026/06/19 10:01:51.029, 2, 0, 24.70, 0
2026/06/19 10:01:51.036, 3, 0, 24.27, 0
2026/06/19 10:01:51.043, 4, 0, 23.88, 0
2026/06/19 10:01:51.049, 5, 0, 15.09, 0
2026/06/19 10:01:51.059, 6, 0, 15.19, 0
2026/06/19 10:01:51.066, 7, 0, 14.84, 0
2026/06/19 10:01:52.073, 0, 0, 24.23, 0
2026/06/19 10:01:52.080, 1, 0, 24.11, 0
2026/06/19 10:01:52.087, 2, 0, 24.75, 0
2026/06/19 10:01:52.094, 3, 0, 24.27, 0
2026/06/19 10:01:52.101, 4, 0, 23.92, 0
2026/06/19 10:01:52.108, 5, 0, 15.04, 0
2026/06/19 10:01:52.117, 6, 0, 15.59, 0
2026/06/19 10:01:52.124, 7, 0, 14.89, 0
2026/06/19 10:01:53.131, 0, 0, 24.22, 0
2026/06/19 10:01:53.138, 1, 0, 24.07, 0
2026/06/19 10:01:53.145, 2, 0, 24.75, 0
2026/06/19 10:01:53.152, 3, 0, 24.26, 0
2026/06/19 10:01:53.159, 4, 0, 23.92, 0
2026/06/19 10:01:53.165, 5, 0, 15.34, 0
2026/06/19 10:01:53.175, 6, 0, 15.05, 0
2026/06/19 10:01:53.182, 7, 0, 14.99, 0
2026/06/19 10:01:54.189, 0, 0, 24.22, 0
2026/06/19 10:01:54.197, 1, 0, 24.11, 0
2026/06/19 10:01:54.203, 2, 0, 24.65, 0
2026/06/19 10:01:54.211, 3, 0, 24.31, 0
2026/06/19 10:01:54.217, 4, 0, 23.83, 0
2026/06/19 10:01:54.225, 5, 0, 15.43, 0
2026/06/19 10:01:54.234, 6, 0, 15.34, 0
2026/06/19 10:01:54.241, 7, 0, 14.94, 0
2026/06/19 10:01:55.248, 0, 0, 24.37, 0
2026/06/19 10:01:55.256, 1, 0, 24.11, 0
2026/06/19 10:01:55.263, 2, 0, 24.60, 0
2026/06/19 10:01:55.270, 3, 0, 24.32, 0
2026/06/19 10:01:55.277, 4, 0, 23.78, 0
2026/06/19 10:01:55.284, 5, 0, 15.34, 0
2026/06/19 10:01:55.294, 6, 0, 15.15, 0
2026/06/19 10:01:55.301, 7, 0, 15.38, 0
2026/06/19 10:01:56.308, 0, 0, 24.42, 0
2026/06/19 10:01:56.315, 1, 0, 24.21, 0
2026/06/19 10:01:56.322, 2, 0, 24.65, 0
2026/06/19 10:01:56.330, 3, 0, 24.32, 0
2026/06/19 10:01:56.336, 4, 0, 23.83, 0
2026/06/19 10:01:56.344, 5, 0, 15.77, 0
2026/06/19 10:01:56.354, 6, 0, 14.76, 0
2026/06/19 10:01:56.361, 7, 0, 15.52, 0
2026/06/19 10:01:57.368, 0, 0, 24.27, 0
2026/06/19 10:01:57.375, 1, 0, 24.26, 0
2026/06/19 10:01:57.383, 2, 0, 24.70, 0
2026/06/19 10:01:57.390, 3, 0, 24.27, 0
2026/06/19 10:01:57.397, 4, 0, 23.83, 0
2026/06/19 10:01:57.404, 5, 0, 15.87, 0
2026/06/19 10:01:57.414, 6, 0, 14.56, 0
2026/06/19 10:01:57.421, 7, 0, 15.28, 0
2026/06/19 10:01:58.428, 0, 0, 24.52, 0
2026/06/19 10:01:58.436, 1, 0, 24.21, 0
2026/06/19 10:01:58.443, 2, 0, 24.70, 0
2026/06/19 10:01:58.451, 3, 0, 24.26, 0
2026/06/19 10:01:58.458, 4, 0, 23.83, 0
2026/06/19 10:01:58.465, 5, 0, 15.87, 0
2026/06/19 10:01:58.475, 6, 0, 14.66, 0
2026/06/19 10:01:58.482, 7, 0, 14.89, 0
2026/06/19 10:01:59.489, 0, 0, 24.51, 0
2026/06/19 10:01:59.497, 1, 0, 24.16, 0
2026/06/19 10:01:59.504, 2, 0, 24.75, 0
2026/06/19 10:01:59.512, 3, 0, 24.26, 0
2026/06/19 10:01:59.519, 4, 0, 23.88, 0
2026/06/19 10:01:59.526, 5, 0, 16.31, 0
2026/06/19 10:01:59.538, 6, 0, 14.66, 0
2026/06/19 10:01:59.545, 7, 0, 14.69, 0
2026/06/19 10:02:00.552, 0, 0, 24.22, 0
2026/06/19 10:02:00.560, 1, 0, 24.11, 0
2026/06/19 10:02:00.567, 2, 0, 24.80, 0
2026/06/19 10:02:00.575, 3, 0, 24.17, 0
2026/06/19 10:02:00.582, 4, 0, 23.93, 0
2026/06/19 10:02:00.589, 5, 0, 15.92, 0
2026/06/19 10:02:00.601, 6, 0, 14.71, 0
2026/06/19 10:02:00.608, 7, 0, 14.69, 0
2026/06/19 10:02:01.616, 0, 0, 27.73, 0
2026/06/19 10:02:01.623, 1, 0, 24.07, 0
2026/06/19 10:02:01.630, 2, 0, 24.70, 0
2026/06/19 10:02:01.637, 3, 0, 24.27, 0
2026/06/19 10:02:01.644, 4, 0, 23.88, 0
2026/06/19 10:02:01.652, 5, 0, 15.48, 0
2026/06/19 10:02:01.663, 6, 0, 14.95, 0
2026/06/19 10:02:01.671, 7, 0, 14.74, 0
2026/06/19 10:02:02.678, 0, 0, 27.73, 0
2026/06/19 10:02:02.685, 1, 0, 24.11, 0
2026/06/19 10:02:02.693, 2, 0, 24.60, 0
2026/06/19 10:02:02.700, 3, 0, 24.42, 0
2026/06/19 10:02:02.707, 4, 0, 23.83, 0
2026/06/19 10:02:02.714, 5, 0, 15.73, 0
2026/06/19 10:02:02.725, 6, 0, 14.85, 0
2026/06/19 10:02:02.733, 7, 0, 14.89, 0
2026/06/19 10:02:03.740, 0, 0, 24.42, 0
2026/06/19 10:02:03.747, 1, 0, 24.11, 0
2026/06/19 10:02:03.755, 2, 0, 24.65, 0
2026/06/19 10:02:03.762, 3, 0, 24.36, 0
2026/06/19 10:02:03.769, 4, 0, 23.83, 0
2026/06/19 10:02:03.775, 5, 0, 15.53, 0
2026/06/19 10:02:03.787, 6, 0, 14.71, 0
2026/06/19 10:02:03.794, 7, 0, 15.13, 0
2026/06/19 10:02:04.801, 0, 0, 24.27, 0
2026/06/19 10:02:04.808, 1, 0, 24.21, 0
2026/06/19 10:02:04.815, 2, 0, 24.70, 0
2026/06/19 10:02:04.822, 3, 0, 24.26, 0
2026/06/19 10:02:04.829, 4, 0, 23.83, 0
2026/06/19 10:02:04.840, 5, 0, 15.48, 0
2026/06/19 10:02:04.852, 6, 0, 15.64, 0
2026/06/19 10:02:04.859, 7, 0, 15.33, 0
2026/06/19 10:02:05.866, 0, 0, 24.22, 0
2026/06/19 10:02:05.873, 1, 0, 24.21, 0
2026/06/19 10:02:05.880, 2, 0, 24.70, 0
2026/06/19 10:02:05.887, 3, 0, 24.26, 0
2026/06/19 10:02:05.894, 4, 0, 25.93, 0
2026/06/19 10:02:05.901, 5, 0, 15.43, 0
2026/06/19 10:02:05.911, 6, 0, 15.15, 0
2026/06/19 10:02:05.917, 7, 0, 15.18, 0
2026/06/19 10:02:06.925, 0, 0, 24.17, 0
2026/06/19 10:02:06.932, 1, 0, 24.11, 0
2026/06/19 10:02:06.939, 2, 0, 24.80, 0
2026/06/19 10:02:06.945, 3, 0, 24.22, 0
2026/06/19 10:02:06.952, 4, 0, 23.93, 0
2026/06/19 10:02:06.959, 5, 0, 15.09, 0
2026/06/19 10:02:06.969, 6, 0, 14.66, 0
2026/06/19 10:02:06.976, 7, 0, 15.72, 0
2026/06/19 10:02:07.982, 0, 0, 24.17, 0
2026/06/19 10:02:07.989, 1, 0, 24.16, 0
2026/06/19 10:02:07.996, 2, 0, 24.80, 0
2026/06/19 10:02:08.003, 3, 0, 24.26, 0
2026/06/19 10:02:08.010, 4, 0, 23.93, 0
2026/06/19 10:02:08.016, 5, 0, 14.75, 0
2026/06/19 10:02:08.026, 6, 0, 15.44, 0
2026/06/19 10:02:08.033, 7, 0, 15.23, 0
2026/06/19 10:02:09.040, 0, 0, 24.22, 0
2026/06/19 10:02:09.047, 1, 0, 24.07, 0
2026/06/19 10:02:09.054, 2, 0, 24.65, 0
2026/06/19 10:02:09.061, 3, 0, 24.26, 0
2026/06/19 10:02:09.068, 4, 0, 23.83, 0
2026/06/19 10:02:09.074, 5, 0, 14.75, 0
2026/06/19 10:02:09.084, 6, 0, 15.15, 0
2026/06/19 10:02:09.091, 7, 0, 14.79, 0
2026/06/19 10:02:10.098, 0, 0, 24.22, 0
2026/06/19 10:02:10.105, 1, 0, 24.07, 0
