instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,35,meta-llama/Llama-3.1-70B,1,10,3336021694,4453708836,1117687142,36102982,132921972,123095646,"[106108177, 149067198, 148229245, 92239374, 161748705, 122494118, 112272515, 92605838]"
0,48,meta-llama/Llama-3.1-70B,17,22,4209283457,4767551704,558268247,39547026,151819541,101612176,"[92605838, 92553486, 92553486, 128735896]"
0,25,meta-llama/Llama-3.1-70B,4,28,2228417547,4886423133,2658005586,10563699,107016545,110912567,"[108133665, 97605710, 121184197, 91715534, 91715534, 98453503, 91767886, 91767886, 91767886, 152578783, 96818990, 106108177, 149067198, 148229245, 92239374, 161748705, 122494118, 112272515, 92605838, 92553486, 92553486, 128735896, 118871429]"
0,8,meta-llama/Llama-3.1-70B,12,52,903845068,5261793685,4357948617,88982313,184960791,106999687,"[96819310, 90562670, 90562670, 90562670, 97133902, 90615022, 128409255, 117820228, 98715423, 138797083, 110177154, 96452846, 108133665, 97605710, 121184197, 91715534, 91715534, 98453503, 91767886, 91767886, 91767886, 152578783, 96818990, 106108177, 149067198, 148229245, 92239374, 161748705, 122494118, 112272515, 92605838, 92553486, 92553486, 128735896, 118871429, 92553486, 92553486, 97657742, 92605838]"
0,11,meta-llama/Llama-3.1-70B,31,68,1379405751,5477228423,4097822672,77907428,175041330,108966148,"[90615022, 128409255, 117820228, 98715423, 138797083, 110177154, 96452846, 108133665, 97605710, 121184197, 91715534, 91715534, 98453503, 91767886, 91767886, 91767886, 152578783, 96818990, 106108177, 149067198, 148229245, 92239374, 161748705, 122494118, 112272515, 92605838, 92553486, 92553486, 128735896, 118871429, 92553486, 92553486, 97657742, 92605838, 101439887, 113994851]"
0,28,meta-llama/Llama-3.1-70B,7,43,2412644520,6460041256,4047396736,30923237,128528947,111967651,"[121184197, 91715534, 91715534, 98453503, 91767886, 91767886, 91767886, 152578783, 96818990, 106108177, 149067198, 148229245, 92239374, 161748705, 122494118, 112272515, 92605838, 92553486, 92553486, 128735896, 118871429, 92553486, 92553486, 97657742, 92605838, 101439887, 113994851, 92605838, 92605838, 181974983, 116514868, 99124719, 133504729, 135807738, 130674120]"
0,43,meta-llama/Llama-3.1-70B,1081,1103,3880823975,6460041256,2579217281,83763685,245512390,111128804,"[122494118, 112272515, 92605838, 92553486, 92553486, 128735896, 118871429, 92553486, 92553486, 97657742, 92605838, 101439887, 113994851, 92605838, 92605838, 181974983, 116514868, 99124719, 133504729, 135807738, 130674120]"
0,61,meta-llama/Llama-3.1-70B,347,353,5735930675,6553275798,817345123,108484407,224999275,118469169,"[99124719, 133504729, 135807738, 130674120, 93234542]"
0,34,meta-llama/Llama-3.1-70B,1065,1110,3170788537,8292158056,5121369519,48757356,201336139,111818940,"[96818990, 106108177, 149067198, 148229245, 92239374, 161748705, 122494118, 112272515, 92605838, 92553486, 92553486, 128735896, 118871429, 92553486, 92553486, 97657742, 92605838, 101439887, 113994851, 92605838, 92605838, 181974983, 116514868, 99124719, 133504729, 135807738, 130674120, 93234542, 93182190, 93182190, 98443663, 98548687, 108709378, 121902854, 138744891, 98862799, 93549135, 126042823, 93758703, 112631379, 99124719, 162010145, 100277583, 99911119]"
0,42,meta-llama/Llama-3.1-70B,635,686,3640781687,9447180559,5806398872,83337354,231566599,111496645,"[92239374, 161748705, 122494118, 112272515, 92605838, 92553486, 92553486, 128735896, 118871429, 92553486, 92553486, 97657742, 92605838, 101439887, 113994851, 92605838, 92605838, 181974983, 116514868, 99124719, 133504729, 135807738, 130674120, 93234542, 93182190, 93182190, 98443663, 98548687, 108709378, 121902854, 138744891, 98862799, 93549135, 126042823, 93758703, 112631379, 99124719, 162010145, 100277583, 99911119, 94125487, 102592752, 120859365, 110490946, 99701551, 150639198, 103797968, 100225231, 177835334, 94754671]"
0,49,meta-llama/Llama-3.1-70B,73,123,4229722316,9731286556,5501564240,19108167,131380682,109595582,"[92605838, 92553486, 92553486, 128735896, 118871429, 92553486, 92553486, 97657742, 92605838, 101439887, 113994851, 92605838, 92605838, 181974983, 116514868, 99124719, 133504729, 135807738, 130674120, 93234542, 93182190, 93182190, 98443663, 98548687, 108709378, 121902854, 138744891, 98862799, 93549135, 126042823, 93758703, 112631379, 99124719, 162010145, 100277583, 99911119, 94125487, 102592752, 120859365, 110490946, 99701551, 150639198, 103797968, 100225231, 177835334, 94754671, 94701999, 94701999, 94701999]"
0,90,meta-llama/Llama-3.1-70B,137,149,8437928393,9825936203,1388007810,50947902,171807267,110563685,"[110490946, 99701551, 150639198, 103797968, 100225231, 177835334, 94754671, 94701999, 94701999, 94701999, 94649647]"
0,86,meta-llama/Llama-3.1-70B,24,48,8041570415,10582712003,2541141588,50398939,150676522,103933263,"[99911119, 94125487, 102592752, 120859365, 110490946, 99701551, 150639198, 103797968, 100225231, 177835334, 94754671, 94701999, 94701999, 94701999, 94649647, 94596975, 94596975, 94596975, 94596975, 94596975, 94596975, 94596975, 94596975]"
0,36,meta-llama/Llama-3.1-70B,134,205,3372350479,11149982621,7777632142,96593187,202701364,108213296,"[149067198, 148229245, 92239374, 161748705, 122494118, 112272515, 92605838, 92553486, 92553486, 128735896, 118871429, 92553486, 92553486, 97657742, 92605838, 101439887, 113994851, 92605838, 92605838, 181974983, 116514868, 99124719, 133504729, 135807738, 130674120, 93234542, 93182190, 93182190, 98443663, 98548687, 108709378, 121902854, 138744891, 98862799, 93549135, 126042823, 93758703, 112631379, 99124719, 162010145, 100277583, 99911119, 94125487, 102592752, 120859365, 110490946, 99701551, 150639198, 103797968, 100225231, 177835334, 94754671, 94701999, 94701999, 94701999, 94649647, 94596975, 94596975, 94596975, 94596975, 94596975, 94596975, 94596975, 94596975, 94545103, 94545103, 94545103, 94545103, 94545103, 94545103]"
0,26,meta-llama/Llama-3.1-70B,192,275,2250691133,11244475052,8993783919,84742959,192876624,107328137,"[97605710, 121184197, 91715534, 91715534, 98453503, 91767886, 91767886, 91767886, 152578783, 96818990, 106108177, 149067198, 148229245, 92239374, 161748705, 122494118, 112272515, 92605838, 92553486, 92553486, 128735896, 118871429, 92553486, 92553486, 97657742, 92605838, 101439887, 113994851, 92605838, 92605838, 181974983, 116514868, 99124719, 133504729, 135807738, 130674120, 93234542, 93182190, 93182190, 98443663, 98548687, 108709378, 121902854, 138744891, 98862799, 93549135, 126042823, 93758703, 112631379, 99124719, 162010145, 100277583, 99911119, 94125487, 102592752, 120859365, 110490946, 99701551, 150639198, 103797968, 100225231, 177835334, 94754671, 94701999, 94701999, 94701999, 94649647, 94596975, 94596975, 94596975, 94596975, 94596975, 94596975, 94596975, 94596975, 94545103, 94545103, 94545103, 94545103, 94545103, 94545103, 94492431]"
