timestamp,index,name,utilization.gpu,power.draw,memory.used
2026/06/19 15:40:38.320, 0, NVIDIA A40, 0, 15.13, 0
2026/06/19 15:40:38.829, 0, NVIDIA A40, 0, 23.01, 3
2026/06/19 15:40:39.336, 0, NVIDIA A40, 3, 51.20, 0
2026/06/19 15:40:39.839, 0, NVIDIA A40, 0, 81.64, 0
2026/06/19 15:40:40.342, 0, NVIDIA A40, 0, 82.45, 0
2026/06/19 15:40:40.845, 0, NVIDIA A40, 0, 82.45, 0
2026/06/19 15:40:41.348, 0, NVIDIA A40, 0, 62.58, 0
2026/06/19 15:40:41.855, 0, NVIDIA A40, 0, 62.58, 0
2026/06/19 15:40:42.363, 0, NVIDIA A40, 0, 15.43, 0
2026/06/19 15:40:42.870, 0, NVIDIA A40, 0, 15.43, 0
2026/06/19 15:40:43.377, 0, NVIDIA A40, 0, 15.48, 0
2026/06/19 15:40:43.885, 0, NVIDIA A40, 0, 15.48, 0
2026/06/19 15:40:44.392, 0, NVIDIA A40, 0, 15.38, 0
2026/06/19 15:40:44.900, 0, NVIDIA A40, 0, 15.38, 0
2026/06/19 15:40:45.407, 0, NVIDIA A40, 0, 15.24, 0
2026/06/19 15:40:45.914, 0, NVIDIA A40, 0, 15.24, 0
2026/06/19 15:40:46.421, 0, NVIDIA A40, 0, 15.29, 0
2026/06/19 15:40:46.929, 0, NVIDIA A40, 0, 15.29, 0
2026/06/19 15:40:47.436, 0, NVIDIA A40, 0, 15.34, 0
2026/06/19 15:40:47.944, 0, NVIDIA A40, 0, 15.34, 0
2026/06/19 15:40:48.451, 0, NVIDIA A40, 0, 15.44, 0
2026/06/19 15:40:48.959, 0, NVIDIA A40, 0, 15.44, 0
2026/06/19 15:40:49.466, 0, NVIDIA A40, 0, 15.73, 0
2026/06/19 15:40:49.974, 0, NVIDIA A40, 0, 15.73, 0
2026/06/19 15:40:50.481, 0, NVIDIA A40, 0, 15.58, 0
2026/06/19 15:40:50.989, 0, NVIDIA A40, 0, 15.58, 0
2026/06/19 15:40:51.496, 0, NVIDIA A40, 0, 15.34, 0
2026/06/19 15:40:52.004, 0, NVIDIA A40, 0, 15.34, 0
2026/06/19 15:40:52.511, 0, NVIDIA A40, 0, 15.53, 0
2026/06/19 15:40:53.019, 0, NVIDIA A40, 0, 15.53, 0
2026/06/19 15:40:53.526, 0, NVIDIA A40, 0, 15.29, 0
2026/06/19 15:40:54.033, 0, NVIDIA A40, 0, 15.29, 0
2026/06/19 15:40:54.541, 0, NVIDIA A40, 0, 15.14, 0
2026/06/19 15:40:55.048, 0, NVIDIA A40, 0, 15.14, 0
2026/06/19 15:40:55.556, 0, NVIDIA A40, 0, 15.29, 0
2026/06/19 15:40:56.063, 0, NVIDIA A40, 0, 15.29, 0
2026/06/19 15:40:56.570, 0, NVIDIA A40, 0, 15.24, 0
2026/06/19 15:40:57.078, 0, NVIDIA A40, 0, 15.24, 0
2026/06/19 15:40:57.585, 0, NVIDIA A40, 0, 15.43, 0
2026/06/19 15:40:58.092, 0, NVIDIA A40, 0, 15.43, 0
2026/06/19 15:40:58.599, 0, NVIDIA A40, 0, 15.63, 0
2026/06/19 15:40:59.106, 0, NVIDIA A40, 0, 15.63, 0
2026/06/19 15:40:59.613, 0, NVIDIA A40, 0, 15.44, 0
2026/06/19 15:41:00.121, 0, NVIDIA A40, 0, 15.44, 0
2026/06/19 15:41:00.628, 0, NVIDIA A40, 0, 15.82, 0
2026/06/19 15:41:01.135, 0, NVIDIA A40, 0, 15.82, 0
2026/06/19 15:41:01.642, 0, NVIDIA A40, 0, 15.48, 0
2026/06/19 15:41:02.149, 0, NVIDIA A40, 0, 15.48, 0
2026/06/19 15:41:02.656, 0, NVIDIA A40, 0, 15.14, 0
2026/06/19 15:41:03.164, 0, NVIDIA A40, 0, 15.14, 0
2026/06/19 15:41:03.671, 0, NVIDIA A40, 0, 15.14, 0
2026/06/19 15:41:04.179, 0, NVIDIA A40, 0, 15.14, 0
2026/06/19 15:41:04.686, 0, NVIDIA A40, 0, 15.19, 0
2026/06/19 15:41:05.193, 0, NVIDIA A40, 0, 15.19, 0
2026/06/19 15:41:05.701, 0, NVIDIA A40, 0, 15.48, 0
2026/06/19 15:41:06.208, 0, NVIDIA A40, 0, 15.48, 0
2026/06/19 15:41:06.716, 0, NVIDIA A40, 0, 16.31, 0
2026/06/19 15:41:07.223, 0, NVIDIA A40, 0, 16.31, 0
2026/06/19 15:41:07.731, 0, NVIDIA A40, 0, 16.26, 0
2026/06/19 15:41:08.238, 0, NVIDIA A40, 0, 16.26, 0
2026/06/19 15:41:08.746, 0, NVIDIA A40, 0, 17.19, 0
2026/06/19 15:41:09.253, 0, NVIDIA A40, 0, 16.80, 0
