timestamp,index,name,utilization.gpu,power.draw,memory.used
2026/06/19 18:06:35.787, 0, NVIDIA A40, 0, 24.13, 0
2026/06/19 18:06:35.891, 0, NVIDIA A40, 0, 24.13, 0
2026/06/19 18:06:36.294, 0, NVIDIA A40, 0, 24.13, 0
2026/06/19 18:06:36.399, 0, NVIDIA A40, 0, 24.13, 0
2026/06/19 18:06:36.801, 0, NVIDIA A40, 0, 24.13, 0
2026/06/19 18:06:36.906, 0, NVIDIA A40, 0, 24.13, 0
2026/06/19 18:06:37.308, 0, NVIDIA A40, 0, 24.08, 0
2026/06/19 18:06:37.413, 0, NVIDIA A40, 0, 24.08, 0
2026/06/19 18:06:37.815, 0, NVIDIA A40, 0, 24.08, 0
2026/06/19 18:06:37.920, 0, NVIDIA A40, 0, 24.08, 0
2026/06/19 18:06:38.322, 0, NVIDIA A40, 0, 24.03, 0
2026/06/19 18:06:38.428, 0, NVIDIA A40, 0, 24.03, 0
2026/06/19 18:06:38.829, 0, NVIDIA A40, 0, 24.03, 0
2026/06/19 18:06:38.935, 0, NVIDIA A40, 0, 24.03, 0
2026/06/19 18:06:39.336, 0, NVIDIA A40, 0, 24.03, 0
2026/06/19 18:06:39.443, 0, NVIDIA A40, 0, 24.03, 0
2026/06/19 18:06:39.843, 0, NVIDIA A40, 0, 24.03, 0
2026/06/19 18:06:39.950, 0, NVIDIA A40, 0, 24.03, 0
2026/06/19 18:06:40.351, 0, NVIDIA A40, 0, 24.08, 0
2026/06/19 18:06:40.456, 0, NVIDIA A40, 0, 24.08, 0
2026/06/19 18:06:40.858, 0, NVIDIA A40, 0, 24.08, 0
2026/06/19 18:06:40.963, 0, NVIDIA A40, 0, 24.08, 0
2026/06/19 18:06:41.366, 0, NVIDIA A40, 0, 24.13, 0
2026/06/19 18:06:41.470, 0, NVIDIA A40, 0, 24.13, 0
2026/06/19 18:06:41.873, 0, NVIDIA A40, 0, 24.13, 0
2026/06/19 18:06:41.977, 0, NVIDIA A40, 0, 24.13, 0
2026/06/19 18:06:42.380, 0, NVIDIA A40, 0, 24.13, 0
2026/06/19 18:06:42.484, 0, NVIDIA A40, 0, 24.13, 0
2026/06/19 18:06:42.888, 0, NVIDIA A40, 0, 24.13, 0
2026/06/19 18:06:42.991, 0, NVIDIA A40, 0, 24.13, 0
2026/06/19 18:06:43.395, 0, NVIDIA A40, 0, 24.13, 0
2026/06/19 18:06:43.498, 0, NVIDIA A40, 0, 24.13, 0
2026/06/19 18:06:43.902, 0, NVIDIA A40, 0, 24.13, 0
2026/06/19 18:06:44.005, 0, NVIDIA A40, 0, 24.13, 0
2026/06/19 18:06:44.410, 0, NVIDIA A40, 0, 24.17, 0
2026/06/19 18:06:44.512, 0, NVIDIA A40, 0, 24.17, 0
2026/06/19 18:06:44.917, 0, NVIDIA A40, 0, 24.17, 0
2026/06/19 18:06:45.019, 0, NVIDIA A40, 0, 24.17, 0
2026/06/19 18:06:45.424, 0, NVIDIA A40, 0, 24.08, 0
2026/06/19 18:06:45.526, 0, NVIDIA A40, 0, 24.08, 0
2026/06/19 18:06:45.931, 0, NVIDIA A40, 0, 24.08, 0
2026/06/19 18:06:46.033, 0, NVIDIA A40, 0, 24.08, 0
2026/06/19 18:06:46.439, 0, NVIDIA A40, 0, 23.98, 0
2026/06/19 18:06:46.540, 0, NVIDIA A40, 0, 23.98, 0
2026/06/19 18:06:46.946, 0, NVIDIA A40, 0, 23.98, 0
2026/06/19 18:06:47.047, 0, NVIDIA A40, 0, 23.98, 0
2026/06/19 18:06:47.453, 0, NVIDIA A40, 0, 23.98, 0
2026/06/19 18:06:47.554, 0, NVIDIA A40, 0, 23.98, 0
2026/06/19 18:06:47.960, 0, NVIDIA A40, 0, 23.98, 0
2026/06/19 18:06:48.061, 0, NVIDIA A40, 0, 23.98, 0
2026/06/19 18:06:48.468, 0, NVIDIA A40, 0, 24.03, 0
